method,K,objective_ratio_mean,objective_ratio_se,time_mean,time_se,success_rate,n,case,title,family
CostOnly,5,2.8861174827541856e-07,4.190593712706896e-12,0.012098825012799299,0.0008521705473438292,1.0,12,grow7,GROW7,netlib
CostOnly,10,2.8924948681679897e-07,4.438364846910735e-12,0.01849373336881394,0.0007594687593400515,1.0,12,grow7,GROW7,netlib
CostOnly,20,2.9229456747654225e-07,5.525681718058782e-12,0.03216191672254349,0.0008557362040521021,1.0,12,grow7,GROW7,netlib
CostOnly,30,2.92303335699064e-07,4.6058808504388325e-12,0.044011108334719475,0.0013740343978258178,1.0,12,grow7,GROW7,netlib
CostOnly,40,0.013945753233074926,5.537581627682596e-07,0.06876609165919939,0.0016376069124772999,1.0,12,grow7,GROW7,netlib
CostOnly,50,0.5930852064984236,5.741722513271867e-06,0.08202038335730318,0.0036241705201920404,1.0,12,grow7,GROW7,netlib
Full,5,1.0,0.0,0.24705722502161123,0.01127518189015525,1.0,12,grow7,GROW7,netlib
Full,10,1.0,0.0,0.24705722502161123,0.01127518189015525,1.0,12,grow7,GROW7,netlib
Full,20,1.0,0.0,0.24705722502161123,0.01127518189015525,1.0,12,grow7,GROW7,netlib
Full,30,1.0,0.0,0.24705722502161123,0.01127518189015525,1.0,12,grow7,GROW7,netlib
Full,40,1.0,0.0,0.24705722502161123,0.01127518189015525,1.0,12,grow7,GROW7,netlib
Full,50,1.0,0.0,0.24705722502161123,0.01127518189015525,1.0,12,grow7,GROW7,netlib
OursEstC,5,0.9999794481547705,5.0909410116034725e-06,0.012020850020538395,0.0005508083487403676,1.0,12,grow7,GROW7,netlib
OursEstC,10,0.9999794481547705,5.0909410116034725e-06,0.012020850020538395,0.0005508083487403676,1.0,12,grow7,GROW7,netlib
OursEstC,20,0.9999794481547705,5.0909410116034725e-06,0.012020850020538395,0.0005508083487403676,1.0,12,grow7,GROW7,netlib
OursEstC,30,0.9999794481547705,5.0909410116034725e-06,0.012020850020538395,0.0005508083487403676,1.0,12,grow7,GROW7,netlib
OursEstC,40,0.9999794481547705,5.0909410116034725e-06,0.012020850020538395,0.0005508083487403676,1.0,12,grow7,GROW7,netlib
OursEstC,50,0.9999794481547705,5.0909410116034725e-06,0.012020850020538395,0.0005508083487403676,1.0,12,grow7,GROW7,netlib
PCA,5,0.0,0.0,0.014327574996665692,0.0012689371878293778,1.0,12,grow7,GROW7,netlib
PCA,10,0.0,0.0,0.019543966676186107,0.001033051008249568,1.0,12,grow7,GROW7,netlib
PCA,20,0.0,0.0,0.035475158336339456,0.0017853003489842541,1.0,12,grow7,GROW7,netlib
PCA,30,0.0,0.0,0.03795436668830608,0.0011797640705713867,1.0,12,grow7,GROW7,netlib
PCA,40,0.0,0.0,0.03918784168975734,0.0009871216739935852,1.0,12,grow7,GROW7,netlib
PCA,50,0.0,0.0,0.04780048332759174,0.0017685129720233317,1.0,12,grow7,GROW7,netlib
Rand,5,0.0,0.0,0.007901649999742655,0.00027982900145210693,1.0,36,grow7,GROW7,netlib
Rand,10,0.0,0.0,0.009233677772701572,0.00025942312201885086,1.0,36,grow7,GROW7,netlib
Rand,20,0.0,0.0,0.015631366666639168,0.0004230566823593119,1.0,36,grow7,GROW7,netlib
Rand,30,0.0,0.0,0.02063251110181829,0.0005164603086683516,1.0,36,grow7,GROW7,netlib
Rand,40,0.0,0.0,0.0279793666720959,0.0009668682088757952,1.0,36,grow7,GROW7,netlib
Rand,50,0.0,0.0,0.033438619442879076,0.0008888411762113917,1.0,36,grow7,GROW7,netlib
SGA,5,0.025287588385973742,2.66740570541512e-07,0.010995466688958249,0.00024349301000818006,1.0,12,grow7,GROW7,netlib
SGA,10,0.025365849652572926,2.6764748892892715e-07,0.02165461666299957,0.0004769352882070698,1.0,12,grow7,GROW7,netlib
SGA,20,0.027536674482418824,3.0710924063037653e-07,0.04210219167483345,0.0010379448689734733,1.0,12,grow7,GROW7,netlib
SGA,30,0.043318585929140924,6.816279522282011e-07,0.051273924997076344,0.0013552581824729096,1.0,12,grow7,GROW7,netlib
SGA,40,0.043318585929140924,6.816279522282011e-07,0.05295651667014071,0.0018322475579269498,1.0,12,grow7,GROW7,netlib
SGA,50,0.043318585929140924,6.816279522282011e-07,0.05943759166984814,0.0021032760881768775,1.0,12,grow7,GROW7,netlib
