method,K,anchor_quality_mean,anchor_quality_se,success_rate,n,case,title,family
CostOnly,5,1.922756129967288e-06,1.606512205180949e-09,1.0,12,mincostflow,MinCostFlow,mincostflow
Full,5,1.0,0.0,1.0,12,mincostflow,MinCostFlow,mincostflow
PCA,5,0.0,0.0,1.0,12,mincostflow,MinCostFlow,mincostflow
Rand,5,0.0,0.0,1.0,36,mincostflow,MinCostFlow,mincostflow
SGA,5,0.9839901744205103,0.0008343675798857091,1.0,12,mincostflow,MinCostFlow,mincostflow
CostOnly,10,1.9256810255405283e-06,1.685531820763344e-09,1.0,12,mincostflow,MinCostFlow,mincostflow
Full,10,1.0,0.0,1.0,12,mincostflow,MinCostFlow,mincostflow
PCA,10,0.9996582961194039,0.0001112957781053142,1.0,12,mincostflow,MinCostFlow,mincostflow
Rand,10,0.0,0.0,1.0,36,mincostflow,MinCostFlow,mincostflow
SGA,10,0.9839901744205103,0.0008343675798857091,1.0,12,mincostflow,MinCostFlow,mincostflow
CostOnly,20,1.928180339234503e-06,1.6914550508829766e-09,1.0,12,mincostflow,MinCostFlow,mincostflow
Full,20,1.0,0.0,1.0,12,mincostflow,MinCostFlow,mincostflow
PCA,20,0.9999999999999853,5.3437254274565844e-15,1.0,12,mincostflow,MinCostFlow,mincostflow
Rand,20,0.0,0.0,1.0,36,mincostflow,MinCostFlow,mincostflow
SGA,20,0.9983941403017459,0.001131479630137872,1.0,12,mincostflow,MinCostFlow,mincostflow
CostOnly,30,1.9293492523407345e-06,1.6638224785640414e-09,1.0,12,mincostflow,MinCostFlow,mincostflow
Full,30,1.0,0.0,1.0,12,mincostflow,MinCostFlow,mincostflow
PCA,30,1.0000000000000033,6.744942335743067e-15,1.0,12,mincostflow,MinCostFlow,mincostflow
Rand,30,0.0,0.0,1.0,36,mincostflow,MinCostFlow,mincostflow
SGA,30,0.9983941403017459,0.001131479630137872,1.0,12,mincostflow,MinCostFlow,mincostflow
CostOnly,40,1.9293492523407345e-06,1.6638224785640414e-09,1.0,12,mincostflow,MinCostFlow,mincostflow
Full,40,1.0,0.0,1.0,12,mincostflow,MinCostFlow,mincostflow
PCA,40,1.0000000000000033,6.744942335743067e-15,1.0,12,mincostflow,MinCostFlow,mincostflow
Rand,40,0.0,0.0,1.0,36,mincostflow,MinCostFlow,mincostflow
SGA,40,0.9983941403017459,0.001131479630137872,1.0,12,mincostflow,MinCostFlow,mincostflow
CostOnly,50,1.9293492523407345e-06,1.6638224785640414e-09,1.0,12,mincostflow,MinCostFlow,mincostflow
Full,50,1.0,0.0,1.0,12,mincostflow,MinCostFlow,mincostflow
PCA,50,1.0000000000000033,6.744942335743067e-15,1.0,12,mincostflow,MinCostFlow,mincostflow
Rand,50,0.0,0.0,1.0,36,mincostflow,MinCostFlow,mincostflow
SGA,50,0.9983941403017459,0.001131479630137872,1.0,12,mincostflow,MinCostFlow,mincostflow
