method,K,instance,objective,full_objective,objective_ratio,time,success,signed_nullspace_obj,x_std_norm,y_support_dim,case,title,family,intrinsic_K,message
Full,5,mincostflow_test_00000,504.11720032943583,504.11720032943583,1.0,0.4217581000411883,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
Full,5,mincostflow_test_00001,502.6299979516808,502.6299979516808,1.0,0.3925929000834003,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
Full,5,mincostflow_test_00002,502.8604746565826,502.8604746565826,1.0,0.4648855000268668,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
Full,5,mincostflow_test_00003,504.3802279732369,504.3802279732369,1.0,0.4228014999534935,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
Full,5,mincostflow_test_00004,503.2312119020608,503.2312119020608,1.0,0.4606189999030903,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
Full,5,mincostflow_test_00005,503.5718944320505,503.5718944320505,1.0,0.4440168000292033,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
Full,5,mincostflow_test_00006,503.8198858076877,503.8198858076877,1.0,0.4834185000509023,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
Full,5,mincostflow_test_00007,503.0799918289378,503.0799918289378,1.0,0.4450420000357553,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
Full,5,mincostflow_test_00008,502.8993427448796,502.8993427448796,1.0,0.4057911999989301,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
Full,5,mincostflow_test_00009,503.1277898287378,503.1277898287378,1.0,0.4809333001030609,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
Full,5,mincostflow_test_00010,503.1313859848569,503.1313859848569,1.0,0.4860076999757439,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
Full,5,mincostflow_test_00011,504.32660550268497,504.32660550268497,1.0,0.4194538999581709,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
Full,10,mincostflow_test_00000,504.11720032943583,504.11720032943583,1.0,0.4217581000411883,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
Full,10,mincostflow_test_00001,502.6299979516808,502.6299979516808,1.0,0.3925929000834003,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
Full,10,mincostflow_test_00002,502.8604746565826,502.8604746565826,1.0,0.4648855000268668,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
Full,10,mincostflow_test_00003,504.3802279732369,504.3802279732369,1.0,0.4228014999534935,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
Full,10,mincostflow_test_00004,503.2312119020608,503.2312119020608,1.0,0.4606189999030903,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
Full,10,mincostflow_test_00005,503.5718944320505,503.5718944320505,1.0,0.4440168000292033,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
Full,10,mincostflow_test_00006,503.8198858076877,503.8198858076877,1.0,0.4834185000509023,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
Full,10,mincostflow_test_00007,503.0799918289378,503.0799918289378,1.0,0.4450420000357553,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
Full,10,mincostflow_test_00008,502.8993427448796,502.8993427448796,1.0,0.4057911999989301,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
Full,10,mincostflow_test_00009,503.1277898287378,503.1277898287378,1.0,0.4809333001030609,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
Full,10,mincostflow_test_00010,503.1313859848569,503.1313859848569,1.0,0.4860076999757439,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
Full,10,mincostflow_test_00011,504.32660550268497,504.32660550268497,1.0,0.4194538999581709,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
Full,20,mincostflow_test_00000,504.11720032943583,504.11720032943583,1.0,0.4217581000411883,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
Full,20,mincostflow_test_00001,502.6299979516808,502.6299979516808,1.0,0.3925929000834003,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
Full,20,mincostflow_test_00002,502.8604746565826,502.8604746565826,1.0,0.4648855000268668,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
Full,20,mincostflow_test_00003,504.3802279732369,504.3802279732369,1.0,0.4228014999534935,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
Full,20,mincostflow_test_00004,503.2312119020608,503.2312119020608,1.0,0.4606189999030903,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
Full,20,mincostflow_test_00005,503.5718944320505,503.5718944320505,1.0,0.4440168000292033,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
Full,20,mincostflow_test_00006,503.8198858076877,503.8198858076877,1.0,0.4834185000509023,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
Full,20,mincostflow_test_00007,503.0799918289378,503.0799918289378,1.0,0.4450420000357553,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
Full,20,mincostflow_test_00008,502.8993427448796,502.8993427448796,1.0,0.4057911999989301,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
Full,20,mincostflow_test_00009,503.1277898287378,503.1277898287378,1.0,0.4809333001030609,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
Full,20,mincostflow_test_00010,503.1313859848569,503.1313859848569,1.0,0.4860076999757439,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
Full,20,mincostflow_test_00011,504.32660550268497,504.32660550268497,1.0,0.4194538999581709,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
Full,30,mincostflow_test_00000,504.11720032943583,504.11720032943583,1.0,0.4217581000411883,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
Full,30,mincostflow_test_00001,502.6299979516808,502.6299979516808,1.0,0.3925929000834003,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
Full,30,mincostflow_test_00002,502.8604746565826,502.8604746565826,1.0,0.4648855000268668,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
Full,30,mincostflow_test_00003,504.3802279732369,504.3802279732369,1.0,0.4228014999534935,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
Full,30,mincostflow_test_00004,503.2312119020608,503.2312119020608,1.0,0.4606189999030903,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
Full,30,mincostflow_test_00005,503.5718944320505,503.5718944320505,1.0,0.4440168000292033,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
Full,30,mincostflow_test_00006,503.8198858076877,503.8198858076877,1.0,0.4834185000509023,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
Full,30,mincostflow_test_00007,503.0799918289378,503.0799918289378,1.0,0.4450420000357553,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
Full,30,mincostflow_test_00008,502.8993427448796,502.8993427448796,1.0,0.4057911999989301,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
Full,30,mincostflow_test_00009,503.1277898287378,503.1277898287378,1.0,0.4809333001030609,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
Full,30,mincostflow_test_00010,503.1313859848569,503.1313859848569,1.0,0.4860076999757439,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
Full,30,mincostflow_test_00011,504.32660550268497,504.32660550268497,1.0,0.4194538999581709,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
