method,K,objective_ratio_mean,objective_ratio_se,time_mean,time_se,success_rate,n,case,title,family
CostOnly,5,0.6555030217401264,0.00022483296540407589,0.015006150021993818,0.0014390047010767377,1.0,12,mincostflow,MinCostFlow,mincostflow
CostOnly,10,0.6555030227476816,0.0002248329736652022,0.017908041685586743,0.0007454443180027891,1.0,12,mincostflow,MinCostFlow,mincostflow
CostOnly,20,0.6555030236086011,0.00022483298550002426,0.03199759167425019,0.0016156464437638042,1.0,12,mincostflow,MinCostFlow,mincostflow
CostOnly,30,0.655503024011377,0.0002248329729179933,0.04304588332888667,0.0015475904318801932,1.0,12,mincostflow,MinCostFlow,mincostflow
CostOnly,40,0.655503024011377,0.0002248329729179933,0.05970529999467541,0.0017540607219099964,1.0,12,mincostflow,MinCostFlow,mincostflow
CostOnly,50,0.655503024011377,0.0002248329729179933,0.07290475832996886,0.0023169872937020357,1.0,12,mincostflow,MinCostFlow,mincostflow
Full,5,1.0,0.0,0.44394336667998385,0.009147432307429775,1.0,12,mincostflow,MinCostFlow,mincostflow
Full,10,1.0,0.0,0.44394336667998385,0.009147432307429775,1.0,12,mincostflow,MinCostFlow,mincostflow
Full,20,1.0,0.0,0.44394336667998385,0.009147432307429775,1.0,12,mincostflow,MinCostFlow,mincostflow
Full,30,1.0,0.0,0.44394336667998385,0.009147432307429775,1.0,12,mincostflow,MinCostFlow,mincostflow
Full,40,1.0,0.0,0.44394336667998385,0.009147432307429775,1.0,12,mincostflow,MinCostFlow,mincostflow
Full,50,1.0,0.0,0.44394336667998385,0.009147432307429775,1.0,12,mincostflow,MinCostFlow,mincostflow
OursEstC,5,0.9999472864315835,3.577157100525376e-05,0.004875166661804542,0.00017593904311944284,1.0,12,mincostflow,MinCostFlow,mincostflow
OursEstC,10,0.9999472864315835,3.577157100525376e-05,0.004875166661804542,0.00017593904311944284,1.0,12,mincostflow,MinCostFlow,mincostflow
OursEstC,20,0.9999472864315835,3.577157100525376e-05,0.004875166661804542,0.00017593904311944284,1.0,12,mincostflow,MinCostFlow,mincostflow
OursEstC,30,0.9999472864315835,3.577157100525376e-05,0.004875166661804542,0.00017593904311944284,1.0,12,mincostflow,MinCostFlow,mincostflow
OursEstC,40,0.9999472864315835,3.577157100525376e-05,0.004875166661804542,0.00017593904311944284,1.0,12,mincostflow,MinCostFlow,mincostflow
OursEstC,50,0.9999472864315835,3.577157100525376e-05,0.004875166661804542,0.00017593904311944284,1.0,12,mincostflow,MinCostFlow,mincostflow
PCA,5,0.655502359359111,0.00022483284869972956,0.005841500019111316,0.0003018471945001863,1.0,12,mincostflow,MinCostFlow,mincostflow
PCA,10,0.9998821830833604,3.8333812703923995e-05,0.00955272499898755,0.0004108060778916823,1.0,12,mincostflow,MinCostFlow,mincostflow
PCA,20,0.999999999999995,1.8400819452567034e-15,0.021268533329324133,0.001313276488338706,1.0,12,mincostflow,MinCostFlow,mincostflow
PCA,30,1.000000000000001,2.3250513069916974e-15,0.02864732499195569,0.0009715235021212018,1.0,12,mincostflow,MinCostFlow,mincostflow
PCA,40,1.000000000000001,2.3250513069916974e-15,0.031129866683234714,0.0012890846351163341,1.0,12,mincostflow,MinCostFlow,mincostflow
PCA,50,1.000000000000001,2.3250513069916974e-15,0.04068955000063088,0.0011263694348382486,1.0,12,mincostflow,MinCostFlow,mincostflow
Rand,5,0.655502359359111,0.00012604397287101153,0.0059055222340652,0.0002050317660607023,1.0,36,mincostflow,MinCostFlow,mincostflow
Rand,10,0.655502359359111,0.00012604397287101153,0.007997358334250705,0.00039424606587106013,1.0,36,mincostflow,MinCostFlow,mincostflow
Rand,20,0.655502359359111,0.00012604397287101153,0.0170786083132649,0.0007035282171485594,1.0,36,mincostflow,MinCostFlow,mincostflow
Rand,30,0.655502359359111,0.00012604397287101153,0.020734575020873666,0.0007822320337881328,1.0,36,mincostflow,MinCostFlow,mincostflow
Rand,40,0.655502359359111,0.00012604397287101153,0.02648446109702081,0.0012467205789372209,1.0,36,mincostflow,MinCostFlow,mincostflow
Rand,50,0.655502359359111,0.00012604397287101153,0.03739229720991307,0.0009793754597501097,1.0,36,mincostflow,MinCostFlow,mincostflow
SGA,5,0.9944827382329627,0.00029100712098370046,0.009914474988666634,0.0005520904391968575,1.0,12,mincostflow,MinCostFlow,mincostflow
SGA,10,0.9944827382329627,0.00029100712098370046,0.017013533341620684,0.0009053476422521205,1.0,12,mincostflow,MinCostFlow,mincostflow
SGA,20,0.9994468078442957,0.0003899696285110142,0.029827508328404844,0.0009156007354742155,1.0,12,mincostflow,MinCostFlow,mincostflow
SGA,30,0.9994468078442957,0.0003899696285110142,0.03859542500382906,0.0009816478033692613,1.0,12,mincostflow,MinCostFlow,mincostflow
SGA,40,0.9994468078442957,0.0003899696285110142,0.051485641675147485,0.0009075460124223376,1.0,12,mincostflow,MinCostFlow,mincostflow
SGA,50,0.9994468078442957,0.0003899696285110142,0.055489908331461835,0.0014720115608529267,1.0,12,mincostflow,MinCostFlow,mincostflow
