method,K,anchor_quality_mean,anchor_quality_se,success_rate,n,case,title,family
CostOnly,5,0.9458949042933252,0.0009486878502271338,1.0,12,packing,Packing,packing
Full,5,1.0,0.0,1.0,12,packing,Packing,packing
PCA,5,0.9821047411676208,0.0010826475509099155,1.0,12,packing,Packing,packing
Rand,5,0.011495159734947077,0.0013774257070082033,1.0,36,packing,Packing,packing
SGA,5,0.977571440203281,0.0010968398088074865,1.0,12,packing,Packing,packing
CostOnly,10,0.950777225624781,0.0008757147254861963,1.0,12,packing,Packing,packing
Full,10,1.0,0.0,1.0,12,packing,Packing,packing
PCA,10,0.9853082869163754,0.0010619023885565474,1.0,12,packing,Packing,packing
Rand,10,0.058863667664985755,0.0014072235643665706,1.0,36,packing,Packing,packing
SGA,10,0.9775714402032807,0.00109683980880745,1.0,12,packing,Packing,packing
CostOnly,20,0.9555846364031745,0.0010501560396481114,1.0,12,packing,Packing,packing
Full,20,1.0,0.0,1.0,12,packing,Packing,packing
PCA,20,0.9903643313946433,0.0008278513322463225,1.0,12,packing,Packing,packing
Rand,20,0.09261633028496312,0.002768084211073742,1.0,36,packing,Packing,packing
SGA,20,0.9775714402032804,0.00109683980880748,1.0,12,packing,Packing,packing
CostOnly,30,0.9568685993686993,0.0010048329212265948,1.0,12,packing,Packing,packing
Full,30,1.0,0.0,1.0,12,packing,Packing,packing
PCA,30,0.9919428663586783,0.0006950786934171175,1.0,12,packing,Packing,packing
Rand,30,0.1619767802001676,0.00758930644866784,1.0,36,packing,Packing,packing
SGA,30,0.9775714402032804,0.0010968398088074837,1.0,12,packing,Packing,packing
CostOnly,40,0.9568685993686993,0.0010048329212265948,1.0,12,packing,Packing,packing
Full,40,1.0,0.0,1.0,12,packing,Packing,packing
PCA,40,0.9919428663586783,0.0006950786934171175,1.0,12,packing,Packing,packing
Rand,40,0.20217598770940082,0.0013933515961605805,1.0,36,packing,Packing,packing
SGA,40,0.9775714402032804,0.0010968398088074837,1.0,12,packing,Packing,packing
CostOnly,50,0.9568685993686993,0.0010048329212265948,1.0,12,packing,Packing,packing
Full,50,1.0,0.0,1.0,12,packing,Packing,packing
PCA,50,0.9919428663586783,0.0006950786934171175,1.0,12,packing,Packing,packing
Rand,50,0.2843069960367173,0.016763319589923255,1.0,36,packing,Packing,packing
SGA,50,0.9775714402032804,0.0010968398088074837,1.0,12,packing,Packing,packing
