method,K,instance,objective,full_objective,objective_ratio,time,success,case,title,family,intrinsic_K,message
Full,5,packing_test_00000,233.265568273414,233.265568273414,1.0,0.0070868999464437,1.0,packing,Packing,packing,,
Full,5,packing_test_00001,229.78207164671875,229.78207164671875,1.0,0.0053006999660283,1.0,packing,Packing,packing,,
Full,5,packing_test_00002,231.24999524898823,231.24999524898823,1.0,0.0046898999717086,1.0,packing,Packing,packing,,
Full,5,packing_test_00003,232.05269552777483,232.05269552777483,1.0,0.0047402000054717,1.0,packing,Packing,packing,,
Full,5,packing_test_00004,230.3178565095968,230.3178565095968,1.0,0.0051495999796316,1.0,packing,Packing,packing,,
Full,5,packing_test_00005,231.347256450289,231.347256450289,1.0,0.005426499992609,1.0,packing,Packing,packing,,
Full,5,packing_test_00006,231.39856840294945,231.39856840294945,1.0,0.0050596001092344,1.0,packing,Packing,packing,,
Full,5,packing_test_00007,229.4264603199824,229.4264603199824,1.0,0.004795299959369,1.0,packing,Packing,packing,,
Full,5,packing_test_00008,230.84790939045772,230.84790939045772,1.0,0.0051976999966427,1.0,packing,Packing,packing,,
Full,5,packing_test_00009,230.22174634721085,230.22174634721085,1.0,0.0048745999811217,1.0,packing,Packing,packing,,
Full,5,packing_test_00010,230.09828997400095,230.09828997400095,1.0,0.0044378000311553,1.0,packing,Packing,packing,,
Full,5,packing_test_00011,230.9602508662536,230.9602508662536,1.0,0.0050246000755578,1.0,packing,Packing,packing,,
Full,10,packing_test_00000,233.265568273414,233.265568273414,1.0,0.0070868999464437,1.0,packing,Packing,packing,,
Full,10,packing_test_00001,229.78207164671875,229.78207164671875,1.0,0.0053006999660283,1.0,packing,Packing,packing,,
Full,10,packing_test_00002,231.24999524898823,231.24999524898823,1.0,0.0046898999717086,1.0,packing,Packing,packing,,
Full,10,packing_test_00003,232.05269552777483,232.05269552777483,1.0,0.0047402000054717,1.0,packing,Packing,packing,,
Full,10,packing_test_00004,230.3178565095968,230.3178565095968,1.0,0.0051495999796316,1.0,packing,Packing,packing,,
Full,10,packing_test_00005,231.347256450289,231.347256450289,1.0,0.005426499992609,1.0,packing,Packing,packing,,
Full,10,packing_test_00006,231.39856840294945,231.39856840294945,1.0,0.0050596001092344,1.0,packing,Packing,packing,,
Full,10,packing_test_00007,229.4264603199824,229.4264603199824,1.0,0.004795299959369,1.0,packing,Packing,packing,,
Full,10,packing_test_00008,230.84790939045772,230.84790939045772,1.0,0.0051976999966427,1.0,packing,Packing,packing,,
Full,10,packing_test_00009,230.22174634721085,230.22174634721085,1.0,0.0048745999811217,1.0,packing,Packing,packing,,
Full,10,packing_test_00010,230.09828997400095,230.09828997400095,1.0,0.0044378000311553,1.0,packing,Packing,packing,,
Full,10,packing_test_00011,230.9602508662536,230.9602508662536,1.0,0.0050246000755578,1.0,packing,Packing,packing,,
Full,20,packing_test_00000,233.265568273414,233.265568273414,1.0,0.0070868999464437,1.0,packing,Packing,packing,,
Full,20,packing_test_00001,229.78207164671875,229.78207164671875,1.0,0.0053006999660283,1.0,packing,Packing,packing,,
Full,20,packing_test_00002,231.24999524898823,231.24999524898823,1.0,0.0046898999717086,1.0,packing,Packing,packing,,
Full,20,packing_test_00003,232.05269552777483,232.05269552777483,1.0,0.0047402000054717,1.0,packing,Packing,packing,,
Full,20,packing_test_00004,230.3178565095968,230.3178565095968,1.0,0.0051495999796316,1.0,packing,Packing,packing,,
