method,K,objective_ratio_mean,objective_ratio_se,time_mean,time_se,success_rate,n,case,title,family
CostOnly,5,0.9458949042933252,0.0009486878502271327,0.007904358343997291,0.00040329602586514085,1.0,12,packing,Packing,packing
CostOnly,10,0.9507772256247807,0.0008757147254862025,0.007662208353091583,0.00023112095074121004,1.0,12,packing,Packing,packing
CostOnly,20,0.9555846364031745,0.0010501560396481181,0.010085983318276658,0.00023983623353129098,1.0,12,packing,Packing,packing
CostOnly,30,0.9568685993686992,0.0010048329212266,0.013006949991298167,0.0008090402480749525,1.0,12,packing,Packing,packing
CostOnly,40,0.9568685993686992,0.0010048329212266,0.0164252000007157,0.0007929714685893125,1.0,12,packing,Packing,packing
CostOnly,50,0.9568685993686992,0.0010048329212266,0.01652568330367401,0.0005647263889784571,1.0,12,packing,Packing,packing
Full,5,1.0,0.0,0.005148616667914483,0.00019395032268336012,1.0,12,packing,Packing,packing
Full,10,1.0,0.0,0.005148616667914483,0.00019395032268336012,1.0,12,packing,Packing,packing
Full,20,1.0,0.0,0.005148616667914483,0.00019395032268336012,1.0,12,packing,Packing,packing
Full,30,1.0,0.0,0.005148616667914483,0.00019395032268336012,1.0,12,packing,Packing,packing
Full,40,1.0,0.0,0.005148616667914483,0.00019395032268336012,1.0,12,packing,Packing,packing
Full,50,1.0,0.0,0.005148616667914483,0.00019395032268336012,1.0,12,packing,Packing,packing
OursEstC,5,0.9876640593091448,0.0011084666444747004,0.0033666500045607486,0.00013618087171859205,1.0,12,packing,Packing,packing
OursEstC,10,0.9876640593091448,0.0011084666444747004,0.0033666500045607486,0.00013618087171859205,1.0,12,packing,Packing,packing
OursEstC,20,0.9876640593091448,0.0011084666444747004,0.0033666500045607486,0.00013618087171859205,1.0,12,packing,Packing,packing
OursEstC,30,0.9876640593091448,0.0011084666444747004,0.0033666500045607486,0.00013618087171859205,1.0,12,packing,Packing,packing
OursEstC,40,0.9876640593091448,0.0011084666444747004,0.0033666500045607486,0.00013618087171859205,1.0,12,packing,Packing,packing
OursEstC,50,0.9876640593091448,0.0011084666444747004,0.0033666500045607486,0.00013618087171859205,1.0,12,packing,Packing,packing
PCA,5,0.9821047411676208,0.00108264755090992,0.00664276665581075,0.0007017044264584178,1.0,12,packing,Packing,packing
PCA,10,0.9853082869163754,0.0010619023885565526,0.007721866655629083,0.0003453398027707732,1.0,12,packing,Packing,packing
PCA,20,0.9903643313946433,0.0008278513322463354,0.011416874990876109,0.00043858137485335745,1.0,12,packing,Packing,packing
PCA,30,0.9919428663586783,0.0006950786934171176,0.013430733330702984,0.0006694462935277964,1.0,12,packing,Packing,packing
PCA,40,0.9919428663586783,0.0006950786934171176,0.013158124987967259,0.0010741693994559124,1.0,12,packing,Packing,packing
PCA,50,0.9919428663586783,0.0006950786934171176,0.01326143334154035,0.000853251325054757,1.0,12,packing,Packing,packing
Rand,5,0.011495159734947052,0.0013774257070082,0.0029187083386608558,8.399282231296221e-05,1.0,36,packing,Packing,packing
Rand,10,0.05886366766498571,0.001407223564366571,0.00444725554876232,0.0002430009073684264,1.0,36,packing,Packing,packing
Rand,20,0.09261633028496308,0.002768084211073742,0.0038488888983717637,0.00017254258959701932,1.0,36,packing,Packing,packing
Rand,30,0.1619767802001676,0.00758930644866784,0.0042635416612028555,8.503231172842655e-05,1.0,36,packing,Packing,packing
Rand,40,0.2021759877094008,0.001393351596160581,0.003857266662331872,0.00017186759989712536,1.0,36,packing,Packing,packing
Rand,50,0.2843069960367173,0.016763319589923255,0.004506511115727686,0.0002218062226356947,1.0,36,packing,Packing,packing
SGA,5,0.977571440203281,0.0010968398088074896,0.006401666672900267,0.00033130991293190993,1.0,12,packing,Packing,packing
SGA,10,0.9775714402032807,0.0010968398088074443,0.0071268916653934415,0.0002581979944728045,1.0,12,packing,Packing,packing
SGA,20,0.9775714402032806,0.0010968398088074777,0.01201659998817675,0.0006393562242212152,1.0,12,packing,Packing,packing
SGA,30,0.9775714402032806,0.0010968398088074777,0.0129780416609719,0.00041011237053489744,1.0,12,packing,Packing,packing
SGA,40,0.9775714402032806,0.0010968398088074777,0.012975749986556625,0.0006389212511648964,1.0,12,packing,Packing,packing
SGA,50,0.9775714402032806,0.0010968398088074777,0.009969766639793858,0.0006016924087858038,1.0,12,packing,Packing,packing
