method,K,anchor_quality_mean,anchor_quality_se,success_rate,n,case,title,family
CostOnly,5,0.648542971245436,0.00016733105423551113,1.0,12,random_lp_A,RandomLP A,random_lp
Full,5,1.0,0.0,1.0,12,random_lp_A,RandomLP A,random_lp
PCA,5,0.0,0.0,1.0,12,random_lp_A,RandomLP A,random_lp
Rand,5,0.010537938775791383,0.0003842370769682698,1.0,36,random_lp_A,RandomLP A,random_lp
SGA,5,0.4223059943903051,8.918899317183175e-05,1.0,12,random_lp_A,RandomLP A,random_lp
CostOnly,10,0.671986110838496,7.484260146754562e-05,1.0,12,random_lp_A,RandomLP A,random_lp
Full,10,1.0,0.0,1.0,12,random_lp_A,RandomLP A,random_lp
PCA,10,0.0,0.0,1.0,12,random_lp_A,RandomLP A,random_lp
Rand,10,0.012263431122515765,0.00021257997911117022,1.0,36,random_lp_A,RandomLP A,random_lp
SGA,10,0.42230599439030403,8.91889931718903e-05,1.0,12,random_lp_A,RandomLP A,random_lp
CostOnly,20,0.6850666134728357,0.00018033369021814172,1.0,12,random_lp_A,RandomLP A,random_lp
Full,20,1.0,0.0,1.0,12,random_lp_A,RandomLP A,random_lp
PCA,20,0.0,0.0,1.0,12,random_lp_A,RandomLP A,random_lp
Rand,20,0.028431651839703847,0.0009114172451825499,1.0,36,random_lp_A,RandomLP A,random_lp
SGA,20,0.42230599439030314,8.918899317117491e-05,1.0,12,random_lp_A,RandomLP A,random_lp
CostOnly,30,0.7930135558872619,0.00014150288953479966,1.0,12,random_lp_A,RandomLP A,random_lp
Full,30,1.0,0.0,1.0,12,random_lp_A,RandomLP A,random_lp
PCA,30,0.0,0.0,1.0,12,random_lp_A,RandomLP A,random_lp
Rand,30,0.044665636291109354,0.0029585403580568337,1.0,36,random_lp_A,RandomLP A,random_lp
SGA,30,0.42270587803926674,8.906542774476282e-05,1.0,12,random_lp_A,RandomLP A,random_lp
CostOnly,40,0.8473728733094007,0.00011595718629058818,1.0,12,random_lp_A,RandomLP A,random_lp
Full,40,1.0,0.0,1.0,12,random_lp_A,RandomLP A,random_lp
PCA,40,0.0,0.0,1.0,12,random_lp_A,RandomLP A,random_lp
Rand,40,0.12491821688103505,0.00898113133414473,1.0,36,random_lp_A,RandomLP A,random_lp
SGA,40,0.42268333957313214,8.899480543291114e-05,1.0,12,random_lp_A,RandomLP A,random_lp
CostOnly,50,0.8711334760815422,0.00021162503181740676,1.0,12,random_lp_A,RandomLP A,random_lp
Full,50,1.0,0.0,1.0,12,random_lp_A,RandomLP A,random_lp
PCA,50,0.0,0.0,1.0,12,random_lp_A,RandomLP A,random_lp
Rand,50,0.15965320034987882,0.005265508331636547,1.0,36,random_lp_A,RandomLP A,random_lp
SGA,50,0.4227194472604496,8.907305623995968e-05,1.0,12,random_lp_A,RandomLP A,random_lp
