method,K,instance,objective,full_objective,objective_ratio,time,success,signed_nullspace_obj,x_std_norm,y_support_dim,case,title,family,intrinsic_K,message
Full,5,random_lp_A_test_00000,55.50758291753834,55.50758291753834,1.0,0.0777596000116318,1.0,,,,random_lp_A,RandomLP A,random_lp,,
Full,5,random_lp_A_test_00001,55.39224440956024,55.39224440956024,1.0,0.0836886999895796,1.0,,,,random_lp_A,RandomLP A,random_lp,,
Full,5,random_lp_A_test_00002,55.52792385462017,55.52792385462017,1.0,0.078391500050202,1.0,,,,random_lp_A,RandomLP A,random_lp,,
Full,5,random_lp_A_test_00003,55.43185997718288,55.43185997718288,1.0,0.0873381999554112,1.0,,,,random_lp_A,RandomLP A,random_lp,,
Full,5,random_lp_A_test_00004,55.35851709742876,55.35851709742876,1.0,0.0800852000247687,1.0,,,,random_lp_A,RandomLP A,random_lp,,
Full,5,random_lp_A_test_00005,55.41669854689527,55.41669854689527,1.0,0.0697724000783637,1.0,,,,random_lp_A,RandomLP A,random_lp,,
Full,5,random_lp_A_test_00006,55.52351568968111,55.52351568968111,1.0,0.0822571000317111,1.0,,,,random_lp_A,RandomLP A,random_lp,,
Full,5,random_lp_A_test_00007,55.54018220240003,55.54018220240003,1.0,0.0851053000660613,1.0,,,,random_lp_A,RandomLP A,random_lp,,
Full,5,random_lp_A_test_00008,55.48446488161741,55.48446488161741,1.0,0.0758172000059858,1.0,,,,random_lp_A,RandomLP A,random_lp,,
Full,5,random_lp_A_test_00009,55.453618450010346,55.453618450010346,1.0,0.0875235999701544,1.0,,,,random_lp_A,RandomLP A,random_lp,,
Full,5,random_lp_A_test_00010,55.3619183430065,55.3619183430065,1.0,0.0776304999599233,1.0,,,,random_lp_A,RandomLP A,random_lp,,
Full,5,random_lp_A_test_00011,55.49267905157991,55.49267905157991,1.0,0.0736792999086901,1.0,,,,random_lp_A,RandomLP A,random_lp,,
Full,10,random_lp_A_test_00000,55.50758291753834,55.50758291753834,1.0,0.0777596000116318,1.0,,,,random_lp_A,RandomLP A,random_lp,,
Full,10,random_lp_A_test_00001,55.39224440956024,55.39224440956024,1.0,0.0836886999895796,1.0,,,,random_lp_A,RandomLP A,random_lp,,
Full,10,random_lp_A_test_00002,55.52792385462017,55.52792385462017,1.0,0.078391500050202,1.0,,,,random_lp_A,RandomLP A,random_lp,,
Full,10,random_lp_A_test_00003,55.43185997718288,55.43185997718288,1.0,0.0873381999554112,1.0,,,,random_lp_A,RandomLP A,random_lp,,
Full,10,random_lp_A_test_00004,55.35851709742876,55.35851709742876,1.0,0.0800852000247687,1.0,,,,random_lp_A,RandomLP A,random_lp,,
Full,10,random_lp_A_test_00005,55.41669854689527,55.41669854689527,1.0,0.0697724000783637,1.0,,,,random_lp_A,RandomLP A,random_lp,,
Full,10,random_lp_A_test_00006,55.52351568968111,55.52351568968111,1.0,0.0822571000317111,1.0,,,,random_lp_A,RandomLP A,random_lp,,
Full,10,random_lp_A_test_00007,55.54018220240003,55.54018220240003,1.0,0.0851053000660613,1.0,,,,random_lp_A,RandomLP A,random_lp,,
Full,10,random_lp_A_test_00008,55.48446488161741,55.48446488161741,1.0,0.0758172000059858,1.0,,,,random_lp_A,RandomLP A,random_lp,,
Full,10,random_lp_A_test_00009,55.453618450010346,55.453618450010346,1.0,0.0875235999701544,1.0,,,,random_lp_A,RandomLP A,random_lp,,
Full,10,random_lp_A_test_00010,55.3619183430065,55.3619183430065,1.0,0.0776304999599233,1.0,,,,random_lp_A,RandomLP A,random_lp,,
Full,10,random_lp_A_test_00011,55.49267905157991,55.49267905157991,1.0,0.0736792999086901,1.0,,,,random_lp_A,RandomLP A,random_lp,,
Full,20,random_lp_A_test_00000,55.50758291753834,55.50758291753834,1.0,0.0777596000116318,1.0,,,,random_lp_A,RandomLP A,random_lp,,
Full,20,random_lp_A_test_00001,55.39224440956024,55.39224440956024,1.0,0.0836886999895796,1.0,,,,random_lp_A,RandomLP A,random_lp,,
Full,20,random_lp_A_test_00002,55.52792385462017,55.52792385462017,1.0,0.078391500050202,1.0,,,,random_lp_A,RandomLP A,random_lp,,
Full,20,random_lp_A_test_00003,55.43185997718288,55.43185997718288,1.0,0.0873381999554112,1.0,,,,random_lp_A,RandomLP A,random_lp,,
Full,20,random_lp_A_test_00004,55.35851709742876,55.35851709742876,1.0,0.0800852000247687,1.0,,,,random_lp_A,RandomLP A,random_lp,,
Full,20,random_lp_A_test_00005,55.41669854689527,55.41669854689527,1.0,0.0697724000783637,1.0,,,,random_lp_A,RandomLP A,random_lp,,
Full,20,random_lp_A_test_00006,55.52351568968111,55.52351568968111,1.0,0.0822571000317111,1.0,,,,random_lp_A,RandomLP A,random_lp,,
Full,20,random_lp_A_test_00007,55.54018220240003,55.54018220240003,1.0,0.0851053000660613,1.0,,,,random_lp_A,RandomLP A,random_lp,,
Full,20,random_lp_A_test_00008,55.48446488161741,55.48446488161741,1.0,0.0758172000059858,1.0,,,,random_lp_A,RandomLP A,random_lp,,
Full,20,random_lp_A_test_00009,55.453618450010346,55.453618450010346,1.0,0.0875235999701544,1.0,,,,random_lp_A,RandomLP A,random_lp,,
Full,20,random_lp_A_test_00010,55.3619183430065,55.3619183430065,1.0,0.0776304999599233,1.0,,,,random_lp_A,RandomLP A,random_lp,,
