method,K,objective_ratio_mean,objective_ratio_se,time_mean,time_se,success_rate,n,case,title,family
CostOnly,5,0.7037982111675284,0.00011506847257026679,0.00935352503438475,0.0004965132057102088,1.0,12,random_lp_A,RandomLP A,random_lp
CostOnly,10,0.7235555385826729,7.138510553712499e-05,0.011785824977171866,0.0006306547249243921,1.0,12,random_lp_A,RandomLP A,random_lp
CostOnly,20,0.734579752522324,0.00012202881887929547,0.021369791676988784,0.0015646432234733552,1.0,12,random_lp_A,RandomLP A,random_lp
CostOnly,30,0.8255554646462823,0.00011042988846028982,0.029475166685491133,0.001054292374238678,1.0,12,random_lp_A,RandomLP A,random_lp
CostOnly,40,0.8713685530581238,9.043780852465611e-05,0.04054761668279142,0.0016520542506167574,1.0,12,random_lp_A,RandomLP A,random_lp
CostOnly,50,0.8913936945520217,0.00016843334050175175,0.051917658332968096,0.001316273915612075,1.0,12,random_lp_A,RandomLP A,random_lp
Full,5,1.0,0.0,0.07992071667104025,0.0015821512041867924,1.0,12,random_lp_A,RandomLP A,random_lp
Full,10,1.0,0.0,0.07992071667104025,0.0015821512041867924,1.0,12,random_lp_A,RandomLP A,random_lp
Full,20,1.0,0.0,0.07992071667104025,0.0015821512041867924,1.0,12,random_lp_A,RandomLP A,random_lp
Full,30,1.0,0.0,0.07992071667104025,0.0015821512041867924,1.0,12,random_lp_A,RandomLP A,random_lp
Full,40,1.0,0.0,0.07992071667104025,0.0015821512041867924,1.0,12,random_lp_A,RandomLP A,random_lp
Full,50,1.0,0.0,0.07992071667104025,0.0015821512041867924,1.0,12,random_lp_A,RandomLP A,random_lp
OursEstC,5,0.9999999999999999,1.5848910182055691e-16,0.005654958329008271,0.0004365744274666101,1.0,12,random_lp_A,RandomLP A,random_lp
OursEstC,10,0.9999999999999999,1.5848910182055691e-16,0.005654958329008271,0.0004365744274666101,1.0,12,random_lp_A,RandomLP A,random_lp
OursEstC,20,0.9999999999999999,1.5848910182055691e-16,0.005654958329008271,0.0004365744274666101,1.0,12,random_lp_A,RandomLP A,random_lp
OursEstC,30,0.9999999999999999,1.5848910182055691e-16,0.005654958329008271,0.0004365744274666101,1.0,12,random_lp_A,RandomLP A,random_lp
OursEstC,40,0.9999999999999999,1.5848910182055691e-16,0.005654958329008271,0.0004365744274666101,1.0,12,random_lp_A,RandomLP A,random_lp
OursEstC,50,0.9999999999999999,1.5848910182055691e-16,0.005654958329008271,0.0004365744274666101,1.0,12,random_lp_A,RandomLP A,random_lp
PCA,5,0.15721709754344224,0.00016512447528318865,0.0070167083467822,0.00024667328939001395,1.0,12,random_lp_A,RandomLP A,random_lp
PCA,10,0.15721709754344224,0.00016512447528318865,0.010390608328937817,0.0005193100930394817,1.0,12,random_lp_A,RandomLP A,random_lp
PCA,20,0.15721709754344224,0.00016512447528318865,0.016264999993533476,0.00037677900679464427,1.0,12,random_lp_A,RandomLP A,random_lp
PCA,30,0.15721709754344224,0.00016512447528318865,0.020622641663066998,0.000637682762040194,1.0,12,random_lp_A,RandomLP A,random_lp
PCA,40,0.15721709754344224,0.00016512447528318865,0.02221645831984151,0.001363867903354736,1.0,12,random_lp_A,RandomLP A,random_lp
PCA,50,0.15721709754344224,0.00016512447528318865,0.02158529168809761,0.0005175600052148438,1.0,12,random_lp_A,RandomLP A,random_lp
Rand,5,0.166098295158885,0.0003363207355767826,0.004818005568166733,0.0002026318544824359,1.0,36,random_lp_A,RandomLP A,random_lp
Rand,10,0.16755250963394003,0.0002009017858763364,0.007852933324304255,0.00038573229409207883,1.0,36,random_lp_A,RandomLP A,random_lp
Rand,20,0.18117880137381526,0.000773559981003429,0.01025250000141867,0.0002474202158083159,1.0,36,random_lp_A,RandomLP A,random_lp
Rand,30,0.19486051025416956,0.0024951708518356048,0.014534461130905427,0.00037482462960612874,1.0,36,random_lp_A,RandomLP A,random_lp
Rand,40,0.2624960443427716,0.007569553151071928,0.01877853612273202,0.0008115587652375157,1.0,36,random_lp_A,RandomLP A,random_lp
Rand,50,0.2917701043955822,0.004438271204690854,0.02375137499054993,0.0008192733311625536,1.0,36,random_lp_A,RandomLP A,random_lp
SGA,5,0.5131292518945202,0.00015855508210637715,0.006911925001380292,8.121880070043982e-05,1.0,12,random_lp_A,RandomLP A,random_lp
SGA,10,0.5131292518945193,0.00015855508210647844,0.011538399994606098,0.0003453593951744096,1.0,12,random_lp_A,RandomLP A,random_lp
SGA,20,0.5131292518945185,0.00015855508210607753,0.019712958339368883,0.0010794983430583564,1.0,12,random_lp_A,RandomLP A,random_lp
SGA,30,0.5134662673443171,0.00015834624041819107,0.032971624993175845,0.0019666888030434103,1.0,12,random_lp_A,RandomLP A,random_lp
SGA,40,0.5134472723697702,0.0001583049401909348,0.03719492501113559,0.0020798226961784424,1.0,12,random_lp_A,RandomLP A,random_lp
SGA,50,0.5134777032588875,0.00015834521536776486,0.03265350831982986,0.0007423790296971272,1.0,12,random_lp_A,RandomLP A,random_lp
