method,K,anchor_quality_mean,anchor_quality_se,success_rate,n,case,title,family
CostOnly,5,0.6086798506734762,0.00016511760857783038,1.0,12,random_lp_B,RandomLP B,random_lp
Full,5,1.0,0.0,1.0,12,random_lp_B,RandomLP B,random_lp
PCA,5,0.0,0.0,1.0,12,random_lp_B,RandomLP B,random_lp
Rand,5,0.0038134348014616,0.0004978581951467551,1.0,36,random_lp_B,RandomLP B,random_lp
SGA,5,0.28661150409699626,0.00018444785896661639,1.0,12,random_lp_B,RandomLP B,random_lp
CostOnly,10,0.6438263316880476,0.0002493612668796173,1.0,12,random_lp_B,RandomLP B,random_lp
Full,10,1.0,0.0,1.0,12,random_lp_B,RandomLP B,random_lp
PCA,10,0.0,0.0,1.0,12,random_lp_B,RandomLP B,random_lp
Rand,10,0.007789079087747082,0.00047568470963381355,1.0,36,random_lp_B,RandomLP B,random_lp
SGA,10,0.28691180232409613,0.00018448858684077773,1.0,12,random_lp_B,RandomLP B,random_lp
CostOnly,20,0.6525616644257625,0.0002614651168079132,1.0,12,random_lp_B,RandomLP B,random_lp
Full,20,1.0,0.0,1.0,12,random_lp_B,RandomLP B,random_lp
PCA,20,0.0,0.0,1.0,12,random_lp_B,RandomLP B,random_lp
Rand,20,0.015804811300383317,0.0014015568783285893,1.0,36,random_lp_B,RandomLP B,random_lp
SGA,20,0.28704418555008154,0.00018451693853617396,1.0,12,random_lp_B,RandomLP B,random_lp
CostOnly,30,0.7929909277557651,0.00014060912270582782,1.0,12,random_lp_B,RandomLP B,random_lp
Full,30,1.0,0.0,1.0,12,random_lp_B,RandomLP B,random_lp
PCA,30,0.0,0.0,1.0,12,random_lp_B,RandomLP B,random_lp
Rand,30,0.0225304605850455,0.001690497970209865,1.0,36,random_lp_B,RandomLP B,random_lp
SGA,30,0.2869181684180781,0.00018445178664730697,1.0,12,random_lp_B,RandomLP B,random_lp
CostOnly,40,0.8509121244386807,0.00016760638391237785,1.0,12,random_lp_B,RandomLP B,random_lp
Full,40,1.0,0.0,1.0,12,random_lp_B,RandomLP B,random_lp
PCA,40,0.0,0.0,1.0,12,random_lp_B,RandomLP B,random_lp
Rand,40,0.0575645996424152,0.0017125654727112277,1.0,36,random_lp_B,RandomLP B,random_lp
SGA,40,0.2870480306647636,0.00018446932396515254,1.0,12,random_lp_B,RandomLP B,random_lp
CostOnly,50,0.8600830377295036,0.000128744093336072,1.0,12,random_lp_B,RandomLP B,random_lp
Full,50,1.0,0.0,1.0,12,random_lp_B,RandomLP B,random_lp
PCA,50,0.0,0.0,1.0,12,random_lp_B,RandomLP B,random_lp
Rand,50,0.0834648679105378,0.006184698836664712,1.0,36,random_lp_B,RandomLP B,random_lp
SGA,50,0.2870124356971005,0.0001844080517536537,1.0,12,random_lp_B,RandomLP B,random_lp
