method,K,instance,objective,full_objective,objective_ratio,time,success,signed_nullspace_obj,x_std_norm,y_support_dim,case,title,family,intrinsic_K,message
Full,5,random_lp_B_test_00000,64.08876448809978,64.08876448809978,1.0,0.1580326999537646,1.0,,,,random_lp_B,RandomLP B,random_lp,,
Full,5,random_lp_B_test_00001,64.33261466264695,64.33261466264695,1.0,0.1738738999702036,1.0,,,,random_lp_B,RandomLP B,random_lp,,
Full,5,random_lp_B_test_00002,64.40210337169964,64.40210337169964,1.0,0.1279185999883338,1.0,,,,random_lp_B,RandomLP B,random_lp,,
Full,5,random_lp_B_test_00003,64.13582974387802,64.13582974387802,1.0,0.1446889999788254,1.0,,,,random_lp_B,RandomLP B,random_lp,,
Full,5,random_lp_B_test_00004,63.767027451449074,63.767027451449074,1.0,0.1378019999247044,1.0,,,,random_lp_B,RandomLP B,random_lp,,
Full,5,random_lp_B_test_00005,64.18160338049353,64.18160338049353,1.0,0.1549720000475645,1.0,,,,random_lp_B,RandomLP B,random_lp,,
Full,5,random_lp_B_test_00006,63.93100745424543,63.93100745424543,1.0,0.1318392000393942,1.0,,,,random_lp_B,RandomLP B,random_lp,,
Full,5,random_lp_B_test_00007,64.31257729701295,64.31257729701295,1.0,0.1558737000450492,1.0,,,,random_lp_B,RandomLP B,random_lp,,
Full,5,random_lp_B_test_00008,64.05923487568361,64.05923487568361,1.0,0.1703300999943167,1.0,,,,random_lp_B,RandomLP B,random_lp,,
Full,5,random_lp_B_test_00009,64.38125458133287,64.38125458133287,1.0,0.1505136999767273,1.0,,,,random_lp_B,RandomLP B,random_lp,,
Full,5,random_lp_B_test_00010,64.25462095187734,64.25462095187734,1.0,0.1410570000298321,1.0,,,,random_lp_B,RandomLP B,random_lp,,
Full,5,random_lp_B_test_00011,64.22085703312935,64.22085703312935,1.0,0.1531247999519109,1.0,,,,random_lp_B,RandomLP B,random_lp,,
Full,10,random_lp_B_test_00000,64.08876448809978,64.08876448809978,1.0,0.1580326999537646,1.0,,,,random_lp_B,RandomLP B,random_lp,,
Full,10,random_lp_B_test_00001,64.33261466264695,64.33261466264695,1.0,0.1738738999702036,1.0,,,,random_lp_B,RandomLP B,random_lp,,
Full,10,random_lp_B_test_00002,64.40210337169964,64.40210337169964,1.0,0.1279185999883338,1.0,,,,random_lp_B,RandomLP B,random_lp,,
Full,10,random_lp_B_test_00003,64.13582974387802,64.13582974387802,1.0,0.1446889999788254,1.0,,,,random_lp_B,RandomLP B,random_lp,,
Full,10,random_lp_B_test_00004,63.767027451449074,63.767027451449074,1.0,0.1378019999247044,1.0,,,,random_lp_B,RandomLP B,random_lp,,
Full,10,random_lp_B_test_00005,64.18160338049353,64.18160338049353,1.0,0.1549720000475645,1.0,,,,random_lp_B,RandomLP B,random_lp,,
Full,10,random_lp_B_test_00006,63.93100745424543,63.93100745424543,1.0,0.1318392000393942,1.0,,,,random_lp_B,RandomLP B,random_lp,,
Full,10,random_lp_B_test_00007,64.31257729701295,64.31257729701295,1.0,0.1558737000450492,1.0,,,,random_lp_B,RandomLP B,random_lp,,
Full,10,random_lp_B_test_00008,64.05923487568361,64.05923487568361,1.0,0.1703300999943167,1.0,,,,random_lp_B,RandomLP B,random_lp,,
Full,10,random_lp_B_test_00009,64.38125458133287,64.38125458133287,1.0,0.1505136999767273,1.0,,,,random_lp_B,RandomLP B,random_lp,,
Full,10,random_lp_B_test_00010,64.25462095187734,64.25462095187734,1.0,0.1410570000298321,1.0,,,,random_lp_B,RandomLP B,random_lp,,
Full,10,random_lp_B_test_00011,64.22085703312935,64.22085703312935,1.0,0.1531247999519109,1.0,,,,random_lp_B,RandomLP B,random_lp,,
Full,20,random_lp_B_test_00000,64.08876448809978,64.08876448809978,1.0,0.1580326999537646,1.0,,,,random_lp_B,RandomLP B,random_lp,,
Full,20,random_lp_B_test_00001,64.33261466264695,64.33261466264695,1.0,0.1738738999702036,1.0,,,,random_lp_B,RandomLP B,random_lp,,
Full,20,random_lp_B_test_00002,64.40210337169964,64.40210337169964,1.0,0.1279185999883338,1.0,,,,random_lp_B,RandomLP B,random_lp,,
Full,20,random_lp_B_test_00003,64.13582974387802,64.13582974387802,1.0,0.1446889999788254,1.0,,,,random_lp_B,RandomLP B,random_lp,,
Full,20,random_lp_B_test_00004,63.767027451449074,63.767027451449074,1.0,0.1378019999247044,1.0,,,,random_lp_B,RandomLP B,random_lp,,
Full,20,random_lp_B_test_00005,64.18160338049353,64.18160338049353,1.0,0.1549720000475645,1.0,,,,random_lp_B,RandomLP B,random_lp,,
Full,20,random_lp_B_test_00006,63.93100745424543,63.93100745424543,1.0,0.1318392000393942,1.0,,,,random_lp_B,RandomLP B,random_lp,,
Full,20,random_lp_B_test_00007,64.31257729701295,64.31257729701295,1.0,0.1558737000450492,1.0,,,,random_lp_B,RandomLP B,random_lp,,
Full,20,random_lp_B_test_00008,64.05923487568361,64.05923487568361,1.0,0.1703300999943167,1.0,,,,random_lp_B,RandomLP B,random_lp,,
Full,20,random_lp_B_test_00009,64.38125458133287,64.38125458133287,1.0,0.1505136999767273,1.0,,,,random_lp_B,RandomLP B,random_lp,,
Full,20,random_lp_B_test_00010,64.25462095187734,64.25462095187734,1.0,0.1410570000298321,1.0,,,,random_lp_B,RandomLP B,random_lp,,
Full,20,random_lp_B_test_00011,64.22085703312935,64.22085703312935,1.0,0.1531247999519109,1.0,,,,random_lp_B,RandomLP B,random_lp,,
Full,30,random_lp_B_test_00000,64.08876448809978,64.08876448809978,1.0,0.1580326999537646,1.0,,,,random_lp_B,RandomLP B,random_lp,,
