method,K,objective_ratio_mean,objective_ratio_se,time_mean,time_se,success_rate,n,case,title,family
CostOnly,5,0.6174401800927837,0.0003038772005174439,0.010840533330338025,0.0008850639899855876,1.0,12,random_lp_B,RandomLP B,random_lp
CostOnly,10,0.6517997519995934,0.0003471886966154359,0.014058933360502075,0.001247546311961762,1.0,12,random_lp_B,RandomLP B,random_lp
CostOnly,20,0.6603400211975937,0.0003054445869663639,0.028089408326195508,0.0013829848085204083,1.0,12,random_lp_B,RandomLP B,random_lp
CostOnly,30,0.7976249700419705,0.00021063888894892535,0.038410949986427995,0.0020032941976311203,1.0,12,random_lp_B,RandomLP B,random_lp
CostOnly,40,0.8542493411248318,0.0002141803883908636,0.04811739999180034,0.0013026378460268219,1.0,12,random_lp_B,RandomLP B,random_lp
CostOnly,50,0.8632149101761634,0.00018471658257131004,0.06649086669009796,0.0028408005228017005,1.0,12,random_lp_B,RandomLP B,random_lp
Full,5,1.0,0.0,0.1500022249917189,0.004074521473127246,1.0,12,random_lp_B,RandomLP B,random_lp
Full,10,1.0,0.0,0.1500022249917189,0.004074521473127246,1.0,12,random_lp_B,RandomLP B,random_lp
Full,20,1.0,0.0,0.1500022249917189,0.004074521473127246,1.0,12,random_lp_B,RandomLP B,random_lp
Full,30,1.0,0.0,0.1500022249917189,0.004074521473127246,1.0,12,random_lp_B,RandomLP B,random_lp
Full,40,1.0,0.0,0.1500022249917189,0.004074521473127246,1.0,12,random_lp_B,RandomLP B,random_lp
Full,50,1.0,0.0,0.1500022249917189,0.004074521473127246,1.0,12,random_lp_B,RandomLP B,random_lp
OursEstC,5,1.0000000000000002,1.9132261038897293e-16,0.008167699998011813,0.00048602161743934737,1.0,12,random_lp_B,RandomLP B,random_lp
OursEstC,10,1.0000000000000002,1.9132261038897293e-16,0.008167699998011813,0.00048602161743934737,1.0,12,random_lp_B,RandomLP B,random_lp
OursEstC,20,1.0000000000000002,1.9132261038897293e-16,0.008167699998011813,0.00048602161743934737,1.0,12,random_lp_B,RandomLP B,random_lp
OursEstC,30,1.0000000000000002,1.9132261038897293e-16,0.008167699998011813,0.00048602161743934737,1.0,12,random_lp_B,RandomLP B,random_lp
OursEstC,40,1.0000000000000002,1.9132261038897293e-16,0.008167699998011813,0.00048602161743934737,1.0,12,random_lp_B,RandomLP B,random_lp
OursEstC,50,1.0000000000000002,1.9132261038897293e-16,0.008167699998011813,0.00048602161743934737,1.0,12,random_lp_B,RandomLP B,random_lp
PCA,5,0.022386432735428743,0.0006810482049636876,0.009485141665209034,0.0006072303398440158,1.0,12,random_lp_B,RandomLP B,random_lp
PCA,10,0.022386432735428743,0.0006810482049636876,0.01340413334158555,0.0007579146552469853,1.0,12,random_lp_B,RandomLP B,random_lp
PCA,20,0.022386432735428743,0.0006810482049636876,0.019219249981688297,0.0005816113559853885,1.0,12,random_lp_B,RandomLP B,random_lp
PCA,30,0.022386432735428743,0.0006810482049636876,0.025970316676345303,0.0007927725527982395,1.0,12,random_lp_B,RandomLP B,random_lp
PCA,40,0.022386432735428743,0.0006810482049636876,0.02478249168295098,0.0007581661163396818,1.0,12,random_lp_B,RandomLP B,random_lp
PCA,50,0.022386432735428743,0.0006810482049636876,0.02288320832303721,0.0009514284581534502,1.0,12,random_lp_B,RandomLP B,random_lp
Rand,5,0.026114416008810117,0.0006213859727883364,0.00518235834574115,0.0002604528046378217,1.0,36,random_lp_B,RandomLP B,random_lp
Rand,10,0.03000108940849449,0.0006022477986883879,0.008764263895702394,0.0003850027630924967,1.0,36,random_lp_B,RandomLP B,random_lp
Rand,20,0.03783739079928448,0.0014215524289984613,0.01261948053919084,0.0003393831885567042,1.0,36,random_lp_B,RandomLP B,random_lp
Rand,30,0.04441249004568674,0.001694668976423918,0.017485352786024977,0.0006428592865730903,1.0,36,random_lp_B,RandomLP B,random_lp
Rand,40,0.07866227422741366,0.0017139093648967,0.02545389443144404,0.0009107002249591515,1.0,36,random_lp_B,RandomLP B,random_lp
Rand,50,0.1039824799297528,0.006057811701963598,0.024471238882849976,0.000733780089119685,1.0,36,random_lp_B,RandomLP B,random_lp
SGA,5,0.30258102498234424,0.0005983785790082795,0.009314125006009467,0.0006344033450685417,1.0,12,random_lp_B,RandomLP B,random_lp
SGA,10,0.30287460052872706,0.0005982007756202634,0.014738691699070175,0.00044908505794384466,1.0,12,random_lp_B,RandomLP B,random_lp
SGA,20,0.3030040194655969,0.0005981965258247122,0.02448685833951453,0.0007843717251808324,1.0,12,random_lp_B,RandomLP B,random_lp
SGA,30,0.3028808246746186,0.0005981257015439771,0.031645191678156416,0.0014651030785699333,1.0,12,random_lp_B,RandomLP B,random_lp
SGA,40,0.30300777900312437,0.0005981267228668623,0.02588426663229859,0.0013793746942311303,1.0,12,random_lp_B,RandomLP B,random_lp
SGA,50,0.3029729813685815,0.0005980801384022972,0.034471541672246496,0.001123432414950311,1.0,12,random_lp_B,RandomLP B,random_lp
