method,K,anchor_quality_mean,anchor_quality_se,success_rate,n,case,title,family
CostOnly,5,0.49463866419401376,3.392723451204566e-05,1.0,12,random_lp_C,RandomLP C,random_lp
Full,5,1.0,0.0,1.0,12,random_lp_C,RandomLP C,random_lp
PCA,5,0.0,0.0,1.0,12,random_lp_C,RandomLP C,random_lp
Rand,5,0.001980437345744312,0.0002023617196259595,1.0,36,random_lp_C,RandomLP C,random_lp
SGA,5,0.33921758861172413,4.879313872784448e-05,1.0,12,random_lp_C,RandomLP C,random_lp
CostOnly,10,0.5371919475368828,3.616545958353525e-05,1.0,12,random_lp_C,RandomLP C,random_lp
Full,10,1.0,0.0,1.0,12,random_lp_C,RandomLP C,random_lp
PCA,10,0.0,0.0,1.0,12,random_lp_C,RandomLP C,random_lp
Rand,10,0.00770075404552394,0.0002876834095510128,1.0,36,random_lp_C,RandomLP C,random_lp
SGA,10,0.3392213724250641,4.8712014108366904e-05,1.0,12,random_lp_C,RandomLP C,random_lp
CostOnly,20,0.567974772952533,5.0206552563206176e-05,1.0,12,random_lp_C,RandomLP C,random_lp
Full,20,1.0,0.0,1.0,12,random_lp_C,RandomLP C,random_lp
PCA,20,0.0,0.0,1.0,12,random_lp_C,RandomLP C,random_lp
Rand,20,0.013536393921896548,0.00038898232598457615,1.0,36,random_lp_C,RandomLP C,random_lp
SGA,20,0.3393955592114346,4.8754765115382144e-05,1.0,12,random_lp_C,RandomLP C,random_lp
CostOnly,30,0.7289591217143322,4.564577507412308e-05,1.0,12,random_lp_C,RandomLP C,random_lp
Full,30,1.0,0.0,1.0,12,random_lp_C,RandomLP C,random_lp
PCA,30,0.0,0.0,1.0,12,random_lp_C,RandomLP C,random_lp
Rand,30,0.017016563217530964,0.0002056465302612615,1.0,36,random_lp_C,RandomLP C,random_lp
SGA,30,0.3393297797829799,4.87585624783183e-05,1.0,12,random_lp_C,RandomLP C,random_lp
CostOnly,40,0.7621954979896053,4.165462700714335e-05,1.0,12,random_lp_C,RandomLP C,random_lp
Full,40,1.0,0.0,1.0,12,random_lp_C,RandomLP C,random_lp
PCA,40,0.0,0.0,1.0,12,random_lp_C,RandomLP C,random_lp
Rand,40,0.03210286244894828,0.001037160853004937,1.0,36,random_lp_C,RandomLP C,random_lp
SGA,40,0.33929493985366577,4.875739910474887e-05,1.0,12,random_lp_C,RandomLP C,random_lp
CostOnly,50,0.7905869083993311,7.242974995755029e-05,1.0,12,random_lp_C,RandomLP C,random_lp
Full,50,1.0,0.0,1.0,12,random_lp_C,RandomLP C,random_lp
PCA,50,0.0,0.0,1.0,12,random_lp_C,RandomLP C,random_lp
Rand,50,0.06609739561783456,0.005250446801639056,1.0,36,random_lp_C,RandomLP C,random_lp
SGA,50,0.3393034717940486,4.876908620689739e-05,1.0,12,random_lp_C,RandomLP C,random_lp
