method,K,instance,objective,full_objective,objective_ratio,time,success,signed_nullspace_obj,x_std_norm,y_support_dim,case,title,family,intrinsic_K,message
Full,5,random_lp_C_test_00000,91.77178366816526,91.77178366816526,1.0,0.2410802999511361,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,5,random_lp_C_test_00001,91.83143567802225,91.83143567802225,1.0,0.2125701999757439,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,5,random_lp_C_test_00002,91.71645709159034,91.71645709159034,1.0,0.2309527999022975,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,5,random_lp_C_test_00003,91.81838206157173,91.81838206157173,1.0,0.2145981000503525,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,5,random_lp_C_test_00004,91.77237203624192,91.77237203624192,1.0,0.2424748999765142,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,5,random_lp_C_test_00005,91.74780495802588,91.74780495802588,1.0,0.2179434999125078,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,5,random_lp_C_test_00006,91.82019053374084,91.82019053374084,1.0,0.2423196999588981,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,5,random_lp_C_test_00007,91.86185428056636,91.86185428056636,1.0,0.2127430000109598,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,5,random_lp_C_test_00008,91.83785747956809,91.83785747956809,1.0,0.2217842999380082,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,5,random_lp_C_test_00009,91.8766934465544,91.8766934465544,1.0,0.1962396999588236,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,5,random_lp_C_test_00010,91.6870299281485,91.6870299281485,1.0,0.2098779999651014,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,5,random_lp_C_test_00011,91.81905627799458,91.81905627799458,1.0,0.2458570000017061,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,10,random_lp_C_test_00000,91.77178366816526,91.77178366816526,1.0,0.2410802999511361,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,10,random_lp_C_test_00001,91.83143567802225,91.83143567802225,1.0,0.2125701999757439,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,10,random_lp_C_test_00002,91.71645709159034,91.71645709159034,1.0,0.2309527999022975,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,10,random_lp_C_test_00003,91.81838206157173,91.81838206157173,1.0,0.2145981000503525,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,10,random_lp_C_test_00004,91.77237203624192,91.77237203624192,1.0,0.2424748999765142,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,10,random_lp_C_test_00005,91.74780495802588,91.74780495802588,1.0,0.2179434999125078,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,10,random_lp_C_test_00006,91.82019053374084,91.82019053374084,1.0,0.2423196999588981,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,10,random_lp_C_test_00007,91.86185428056636,91.86185428056636,1.0,0.2127430000109598,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,10,random_lp_C_test_00008,91.83785747956809,91.83785747956809,1.0,0.2217842999380082,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,10,random_lp_C_test_00009,91.8766934465544,91.8766934465544,1.0,0.1962396999588236,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,10,random_lp_C_test_00010,91.6870299281485,91.6870299281485,1.0,0.2098779999651014,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,10,random_lp_C_test_00011,91.81905627799458,91.81905627799458,1.0,0.2458570000017061,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,20,random_lp_C_test_00000,91.77178366816526,91.77178366816526,1.0,0.2410802999511361,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,20,random_lp_C_test_00001,91.83143567802225,91.83143567802225,1.0,0.2125701999757439,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,20,random_lp_C_test_00002,91.71645709159034,91.71645709159034,1.0,0.2309527999022975,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,20,random_lp_C_test_00003,91.81838206157173,91.81838206157173,1.0,0.2145981000503525,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,20,random_lp_C_test_00004,91.77237203624192,91.77237203624192,1.0,0.2424748999765142,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,20,random_lp_C_test_00005,91.74780495802588,91.74780495802588,1.0,0.2179434999125078,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,20,random_lp_C_test_00006,91.82019053374084,91.82019053374084,1.0,0.2423196999588981,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,20,random_lp_C_test_00007,91.86185428056636,91.86185428056636,1.0,0.2127430000109598,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,20,random_lp_C_test_00008,91.83785747956809,91.83785747956809,1.0,0.2217842999380082,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,20,random_lp_C_test_00009,91.8766934465544,91.8766934465544,1.0,0.1962396999588236,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,20,random_lp_C_test_00010,91.6870299281485,91.6870299281485,1.0,0.2098779999651014,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,20,random_lp_C_test_00011,91.81905627799458,91.81905627799458,1.0,0.2458570000017061,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,30,random_lp_C_test_00000,91.77178366816526,91.77178366816526,1.0,0.2410802999511361,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,30,random_lp_C_test_00001,91.83143567802225,91.83143567802225,1.0,0.2125701999757439,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,30,random_lp_C_test_00002,91.71645709159034,91.71645709159034,1.0,0.2309527999022975,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,30,random_lp_C_test_00003,91.81838206157173,91.81838206157173,1.0,0.2145981000503525,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,30,random_lp_C_test_00004,91.77237203624192,91.77237203624192,1.0,0.2424748999765142,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,30,random_lp_C_test_00005,91.74780495802588,91.74780495802588,1.0,0.2179434999125078,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,30,random_lp_C_test_00006,91.82019053374084,91.82019053374084,1.0,0.2423196999588981,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,30,random_lp_C_test_00007,91.86185428056636,91.86185428056636,1.0,0.2127430000109598,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,30,random_lp_C_test_00008,91.83785747956809,91.83785747956809,1.0,0.2217842999380082,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,30,random_lp_C_test_00009,91.8766934465544,91.8766934465544,1.0,0.1962396999588236,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,30,random_lp_C_test_00010,91.6870299281485,91.6870299281485,1.0,0.2098779999651014,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,30,random_lp_C_test_00011,91.81905627799458,91.81905627799458,1.0,0.2458570000017061,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,40,random_lp_C_test_00000,91.77178366816526,91.77178366816526,1.0,0.2410802999511361,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,40,random_lp_C_test_00001,91.83143567802225,91.83143567802225,1.0,0.2125701999757439,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,40,random_lp_C_test_00002,91.71645709159034,91.71645709159034,1.0,0.2309527999022975,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,40,random_lp_C_test_00003,91.81838206157173,91.81838206157173,1.0,0.2145981000503525,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,40,random_lp_C_test_00004,91.77237203624192,91.77237203624192,1.0,0.2424748999765142,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,40,random_lp_C_test_00005,91.74780495802588,91.74780495802588,1.0,0.2179434999125078,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,40,random_lp_C_test_00006,91.82019053374084,91.82019053374084,1.0,0.2423196999588981,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,40,random_lp_C_test_00007,91.86185428056636,91.86185428056636,1.0,0.2127430000109598,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,40,random_lp_C_test_00008,91.83785747956809,91.83785747956809,1.0,0.2217842999380082,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,40,random_lp_C_test_00009,91.8766934465544,91.8766934465544,1.0,0.1962396999588236,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,40,random_lp_C_test_00010,91.6870299281485,91.6870299281485,1.0,0.2098779999651014,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,40,random_lp_C_test_00011,91.81905627799458,91.81905627799458,1.0,0.2458570000017061,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,50,random_lp_C_test_00000,91.77178366816526,91.77178366816526,1.0,0.2410802999511361,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,50,random_lp_C_test_00001,91.83143567802225,91.83143567802225,1.0,0.2125701999757439,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,50,random_lp_C_test_00002,91.71645709159034,91.71645709159034,1.0,0.2309527999022975,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,50,random_lp_C_test_00003,91.81838206157173,91.81838206157173,1.0,0.2145981000503525,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,50,random_lp_C_test_00004,91.77237203624192,91.77237203624192,1.0,0.2424748999765142,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,50,random_lp_C_test_00005,91.74780495802588,91.74780495802588,1.0,0.2179434999125078,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,50,random_lp_C_test_00006,91.82019053374084,91.82019053374084,1.0,0.2423196999588981,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,50,random_lp_C_test_00007,91.86185428056636,91.86185428056636,1.0,0.2127430000109598,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,50,random_lp_C_test_00008,91.83785747956809,91.83785747956809,1.0,0.2217842999380082,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,50,random_lp_C_test_00009,91.8766934465544,91.8766934465544,1.0,0.1962396999588236,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,50,random_lp_C_test_00010,91.6870299281485,91.6870299281485,1.0,0.2098779999651014,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Full,50,random_lp_C_test_00011,91.81905627799458,91.81905627799458,1.0,0.2458570000017061,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Rand,5,random_lp_C_test_00000,6.100943019863906,91.77178366816526,0.0664795079272308,0.0052801999263465,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Rand,5,random_lp_C_test_00001,6.110332809451845,91.83143567802225,0.0665385743382667,0.0054226999636739,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Rand,5,random_lp_C_test_00002,6.04083031007048,91.71645709159034,0.0658641916797762,0.0048023000126704,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Rand,5,random_lp_C_test_00003,6.091895258563008,91.81838206157173,0.0663472294085719,0.0047369999811053,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Rand,5,random_lp_C_test_00004,6.0664244661508775,91.77237203624192,0.0661029494122172,0.0026822000509127,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Rand,5,random_lp_C_test_00005,6.099377203609215,91.74780495802588,0.0664798161263874,0.0040472999680787,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Rand,5,random_lp_C_test_00006,6.111102442028061,91.82019053374084,0.0665551052171083,0.0047337999567389,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Rand,5,random_lp_C_test_00007,6.10085493914073,91.86185428056636,0.066413365884248,0.004604100016877,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Rand,5,random_lp_C_test_00008,6.15407999986722,91.83785747956809,0.0670102740717396,0.0048129999777302,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Rand,5,random_lp_C_test_00009,6.172352933470702,91.8766934465544,0.0671808344633257,0.0059657999081537,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Rand,5,random_lp_C_test_00010,6.016416891172408,91.6870299281485,0.0656190618878944,0.0050853000720962,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Rand,5,random_lp_C_test_00011,6.102339304832912,91.81905627799458,0.0664604881840351,0.0052508999360725,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Rand,5,random_lp_C_test_00000,6.082064200035296,91.77178366816526,0.0662737930650584,0.0060598000418394,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Rand,5,random_lp_C_test_00001,6.0894388877391,91.83143567802225,0.0663110496180173,0.007412000093609,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Rand,5,random_lp_C_test_00002,6.020891617320494,91.71645709159034,0.0656467967499865,0.006758700008504,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Rand,5,random_lp_C_test_00003,6.073400910158673,91.81838206157173,0.0661458062513665,0.0055946999927982,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Rand,5,random_lp_C_test_00004,6.04606856569364,91.77237203624192,0.0658811408220546,0.0032059999648481,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Rand,5,random_lp_C_test_00005,6.079786688593617,91.74780495802588,0.0662662904183384,0.0028850999660789,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Rand,5,random_lp_C_test_00006,6.091211513184298,91.82019053374084,0.0663384760778293,0.0073231999995186,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Rand,5,random_lp_C_test_00007,6.080120236802555,91.86185428056636,0.0661876497532101,0.0054456999059766,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Rand,5,random_lp_C_test_00008,6.132350982276871,91.83785747956809,0.0667736721062028,0.0065223999554291,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Rand,5,random_lp_C_test_00009,6.1530772161611065,91.8766934465544,0.066971034604553,0.0053095000330358,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Rand,5,random_lp_C_test_00010,5.996589315618462,91.6870299281485,0.0654028091030732,0.0067043000599369,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Rand,5,random_lp_C_test_00011,6.081353273547155,91.81905627799458,0.06623192962401,0.0068954000016674,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Rand,5,random_lp_C_test_00000,5.8738184801545525,91.77178366816526,0.0640046237021338,0.0052356000524014,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Rand,5,random_lp_C_test_00001,5.882600396818309,91.83143567802225,0.0640586783097215,0.0056905000237748,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Rand,5,random_lp_C_test_00002,5.813213860427035,91.71645709159034,0.0633824511409311,0.0057168999919667,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Rand,5,random_lp_C_test_00003,5.8650758246224735,91.81838206157173,0.0638769241293041,0.0043668000726029,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Rand,5,random_lp_C_test_00004,5.838241728476248,91.77237203624192,0.0636165503728144,0.0052489000372588,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Rand,5,random_lp_C_test_00005,5.871969385035762,91.74780495802588,0.0640011974970099,0.005377099965699,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Rand,5,random_lp_C_test_00006,5.883628243778613,91.82019053374084,0.0640777176520514,0.0028384000761434,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Rand,5,random_lp_C_test_00007,5.872503728404717,91.86185428056636,0.0639275548528423,0.0025389998918399,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Rand,5,random_lp_C_test_00008,5.925757825391694,91.83785747956809,0.0645241296783306,0.0057156000984832,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Rand,5,random_lp_C_test_00009,5.946245698662382,91.8766934465544,0.0647198486972256,0.0051697000162675,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Rand,5,random_lp_C_test_00010,5.788683898152203,91.6870299281485,0.0631352537287832,0.0051634999690577,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Rand,5,random_lp_C_test_00011,5.873806937148356,91.81905627799458,0.0639715455075536,0.0059247999452054,1.0,,,,random_lp_C,RandomLP C,random_lp,,
PCA,5,random_lp_C_test_00000,5.848740436628871,91.77178366816526,0.0637313584072545,0.0079227000242099,1.0,,,,random_lp_C,RandomLP C,random_lp,,
PCA,5,random_lp_C_test_00001,5.857149652489415,91.83143567802225,0.0637815319911326,0.0069489999441429,1.0,,,,random_lp_C,RandomLP C,random_lp,,
