method,K,objective_ratio_mean,objective_ratio_se,time_mean,time_se,success_rate,n,case,title,family
CostOnly,5,0.5268136387826711,7.214765135791358e-05,0.010026399996907716,0.000984342048494022,1.0,12,random_lp_C,RandomLP C,random_lp
CostOnly,10,0.5666576970461085,5.1060567813841175e-05,0.016222608324217885,0.0012510477261643731,1.0,12,random_lp_C,RandomLP C,random_lp
CostOnly,20,0.5954806897369146,3.83585131946221e-05,0.030014666660766392,0.0013027965373328468,1.0,12,random_lp_C,RandomLP C,random_lp
CostOnly,30,0.7462155861144373,3.904500622683763e-05,0.04463977498623226,0.0017407040290261069,1.0,12,random_lp_C,RandomLP C,random_lp
CostOnly,40,0.7773358998013219,2.929558544061326e-05,0.05591423331255399,0.0022218335600641373,1.0,12,random_lp_C,RandomLP C,random_lp
CostOnly,50,0.803919743492541,5.1055457363779944e-05,0.0710839916428085,0.0018322946899814948,1.0,12,random_lp_C,RandomLP C,random_lp
Full,5,1.0,0.0,0.2240367916335041,0.0046483423060682625,1.0,12,random_lp_C,RandomLP C,random_lp
Full,10,1.0,0.0,0.2240367916335041,0.0046483423060682625,1.0,12,random_lp_C,RandomLP C,random_lp
Full,20,1.0,0.0,0.2240367916335041,0.0046483423060682625,1.0,12,random_lp_C,RandomLP C,random_lp
Full,30,1.0,0.0,0.2240367916335041,0.0046483423060682625,1.0,12,random_lp_C,RandomLP C,random_lp
Full,40,1.0,0.0,0.2240367916335041,0.0046483423060682625,1.0,12,random_lp_C,RandomLP C,random_lp
Full,50,1.0,0.0,0.2240367916335041,0.0046483423060682625,1.0,12,random_lp_C,RandomLP C,random_lp
OursEstC,5,1.0000000000000009,2.305044942288571e-16,0.006426249979995191,0.0004205275873169662,1.0,12,random_lp_C,RandomLP C,random_lp
OursEstC,10,1.0000000000000009,2.305044942288571e-16,0.006426249979995191,0.0004205275873169662,1.0,12,random_lp_C,RandomLP C,random_lp
OursEstC,20,1.0000000000000009,2.305044942288571e-16,0.006426249979995191,0.0004205275873169662,1.0,12,random_lp_C,RandomLP C,random_lp
OursEstC,30,1.0000000000000009,2.305044942288571e-16,0.006426249979995191,0.0004205275873169662,1.0,12,random_lp_C,RandomLP C,random_lp
OursEstC,40,1.0000000000000009,2.305044942288571e-16,0.006426249979995191,0.0004205275873169662,1.0,12,random_lp_C,RandomLP C,random_lp
OursEstC,50,1.0000000000000009,2.305044942288571e-16,0.006426249979995191,0.0004205275873169662,1.0,12,random_lp_C,RandomLP C,random_lp
PCA,5,0.06366727185931248,0.00012422990609204282,0.008612491665796017,0.00031751690199157827,1.0,12,random_lp_C,RandomLP C,random_lp
PCA,10,0.06366727185931248,0.00012422990609204282,0.014212633356995208,0.0008106697630479286,1.0,12,random_lp_C,RandomLP C,random_lp
PCA,20,0.06366727185931248,0.00012422990609204282,0.020820800011279016,0.0007942200910305122,1.0,12,random_lp_C,RandomLP C,random_lp
PCA,30,0.06366727185931248,0.00012422990609204282,0.026338983356254123,0.0010963986570335987,1.0,12,random_lp_C,RandomLP C,random_lp
PCA,40,0.06366727185931248,0.00012422990609204282,0.02904921665322031,0.001304165190719931,1.0,12,random_lp_C,RandomLP C,random_lp
PCA,50,0.06366727185931248,0.00012422990609204282,0.032114925008499946,0.0012053943739619526,1.0,12,random_lp_C,RandomLP C,random_lp
Rand,5,0.06552162005731119,0.00020183849092451063,0.005181338887066631,0.0002053176018891634,1.0,36,random_lp_C,RandomLP C,random_lp
Rand,10,0.07087774301366527,0.00027779359491577867,0.010549219448067611,0.000562707659847093,1.0,36,random_lp_C,RandomLP C,random_lp
Rand,20,0.07634184053529108,0.0003706369639902222,0.013703872226566648,0.0004253255493061039,1.0,36,random_lp_C,RandomLP C,random_lp
Rand,30,0.0796004330024142,0.00020486467393595684,0.019312833338820636,0.000693373390876765,1.0,36,random_lp_C,RandomLP C,random_lp
Rand,40,0.09372622795190962,0.0009735902625486806,0.02562802221250923,0.0013135144075189385,1.0,36,random_lp_C,RandomLP C,random_lp
Rand,50,0.12555640498799506,0.004916705700054264,0.031136277781721775,0.000757017906811049,1.0,36,random_lp_C,RandomLP C,random_lp
SGA,5,0.3812877763637081,0.00010824002480205744,0.0083517666595677,0.0007030404080653794,1.0,12,random_lp_C,RandomLP C,random_lp
SGA,10,0.381291319392721,0.00010814473865089106,0.015741708339191925,0.000628235011792445,1.0,12,random_lp_C,RandomLP C,random_lp
SGA,20,0.3814544162002857,0.00010813198935985389,0.02611116670110879,0.001261501929119538,1.0,12,random_lp_C,RandomLP C,random_lp
SGA,30,0.3813928247758547,0.0001081372298796872,0.03152150001066421,0.0008179606008087445,1.0,12,random_lp_C,RandomLP C,random_lp
SGA,40,0.38136020305116336,0.00010811924607466795,0.030851391667965758,0.001461398216647072,1.0,12,random_lp_C,RandomLP C,random_lp
SGA,50,0.38136819175374786,0.00010813974820457961,0.03485656666452991,0.0013447721121639619,1.0,12,random_lp_C,RandomLP C,random_lp
