method,K,anchor_quality_mean,anchor_quality_se,success_rate,n,case,title,family
CostOnly,5,0.47567810703964386,2.2163386569811742e-05,1.0,12,random_lp_D,RandomLP D,random_lp
Full,5,1.0,0.0,1.0,12,random_lp_D,RandomLP D,random_lp
PCA,5,0.0,0.0,1.0,12,random_lp_D,RandomLP D,random_lp
Rand,5,0.00312645350437057,0.0002755588291874293,1.0,36,random_lp_D,RandomLP D,random_lp
SGA,5,0.289299985857399,3.292009372807355e-05,1.0,12,random_lp_D,RandomLP D,random_lp
CostOnly,10,0.4876987446557066,4.063675841946516e-05,1.0,12,random_lp_D,RandomLP D,random_lp
Full,10,1.0,0.0,1.0,12,random_lp_D,RandomLP D,random_lp
PCA,10,0.0,0.0,1.0,12,random_lp_D,RandomLP D,random_lp
Rand,10,0.0029005115970931637,0.00019866244570740033,1.0,36,random_lp_D,RandomLP D,random_lp
SGA,10,0.28929998585741845,3.292009372824183e-05,1.0,12,random_lp_D,RandomLP D,random_lp
CostOnly,20,0.5106487549219002,4.544566251977947e-05,1.0,12,random_lp_D,RandomLP D,random_lp
Full,20,1.0,0.0,1.0,12,random_lp_D,RandomLP D,random_lp
PCA,20,0.0,0.0,1.0,12,random_lp_D,RandomLP D,random_lp
Rand,20,0.007137062746782915,0.0002845740450864521,1.0,36,random_lp_D,RandomLP D,random_lp
SGA,20,0.28929998585742134,3.292009372788766e-05,1.0,12,random_lp_D,RandomLP D,random_lp
CostOnly,30,0.6366194955569713,5.0529881180757604e-05,1.0,12,random_lp_D,RandomLP D,random_lp
Full,30,1.0,0.0,1.0,12,random_lp_D,RandomLP D,random_lp
PCA,30,0.0,0.0,1.0,12,random_lp_D,RandomLP D,random_lp
Rand,30,0.019880524855548948,0.0009255003676544585,1.0,36,random_lp_D,RandomLP D,random_lp
SGA,30,0.2894296416918281,3.289993275088124e-05,1.0,12,random_lp_D,RandomLP D,random_lp
CostOnly,40,0.6763126322832638,7.493211685806716e-05,1.0,12,random_lp_D,RandomLP D,random_lp
Full,40,1.0,0.0,1.0,12,random_lp_D,RandomLP D,random_lp
PCA,40,0.0,0.0,1.0,12,random_lp_D,RandomLP D,random_lp
Rand,40,0.018368551036377724,0.00010761788983774804,1.0,36,random_lp_D,RandomLP D,random_lp
SGA,40,0.28940654065274496,3.2902418499671594e-05,1.0,12,random_lp_D,RandomLP D,random_lp
CostOnly,50,0.6962480265389761,7.153568637825722e-05,1.0,12,random_lp_D,RandomLP D,random_lp
Full,50,1.0,0.0,1.0,12,random_lp_D,RandomLP D,random_lp
PCA,50,0.0,0.0,1.0,12,random_lp_D,RandomLP D,random_lp
Rand,50,0.026549221718292125,0.0007849441097397702,1.0,36,random_lp_D,RandomLP D,random_lp
SGA,50,0.2893813263571862,3.2918828034413225e-05,1.0,12,random_lp_D,RandomLP D,random_lp
