method,K,instance,objective,full_objective,objective_ratio,time,success,signed_nullspace_obj,x_std_norm,y_support_dim,case,title,family,intrinsic_K,message
Full,5,random_lp_D_test_00000,97.76135086218711,97.76135086218711,1.0,0.3659027999965474,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,5,random_lp_D_test_00001,97.72523175412172,97.72523175412172,1.0,0.3432892999844625,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,5,random_lp_D_test_00002,97.81041328259846,97.81041328259846,1.0,0.3219981000293046,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,5,random_lp_D_test_00003,97.7275462559939,97.7275462559939,1.0,0.3759158999891951,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,5,random_lp_D_test_00004,97.78333439652296,97.78333439652296,1.0,0.3494428000412881,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,5,random_lp_D_test_00005,97.73329843812336,97.73329843812336,1.0,0.3029138999991119,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,5,random_lp_D_test_00006,97.72905258546372,97.72905258546372,1.0,0.28290350001771,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,5,random_lp_D_test_00007,97.7940318633033,97.7940318633033,1.0,0.3500640999991447,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,5,random_lp_D_test_00008,97.7479866814014,97.7479866814014,1.0,0.3037055000895634,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,5,random_lp_D_test_00009,97.80727914825664,97.80727914825664,1.0,0.3040046000387519,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,5,random_lp_D_test_00010,97.76841749289429,97.76841749289429,1.0,0.3114627000177279,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,5,random_lp_D_test_00011,97.77435631283072,97.77435631283072,1.0,0.3723649999592453,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,10,random_lp_D_test_00000,97.76135086218711,97.76135086218711,1.0,0.3659027999965474,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,10,random_lp_D_test_00001,97.72523175412172,97.72523175412172,1.0,0.3432892999844625,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,10,random_lp_D_test_00002,97.81041328259846,97.81041328259846,1.0,0.3219981000293046,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,10,random_lp_D_test_00003,97.7275462559939,97.7275462559939,1.0,0.3759158999891951,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,10,random_lp_D_test_00004,97.78333439652296,97.78333439652296,1.0,0.3494428000412881,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,10,random_lp_D_test_00005,97.73329843812336,97.73329843812336,1.0,0.3029138999991119,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,10,random_lp_D_test_00006,97.72905258546372,97.72905258546372,1.0,0.28290350001771,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,10,random_lp_D_test_00007,97.7940318633033,97.7940318633033,1.0,0.3500640999991447,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,10,random_lp_D_test_00008,97.7479866814014,97.7479866814014,1.0,0.3037055000895634,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,10,random_lp_D_test_00009,97.80727914825664,97.80727914825664,1.0,0.3040046000387519,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,10,random_lp_D_test_00010,97.76841749289429,97.76841749289429,1.0,0.3114627000177279,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,10,random_lp_D_test_00011,97.77435631283072,97.77435631283072,1.0,0.3723649999592453,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,20,random_lp_D_test_00000,97.76135086218711,97.76135086218711,1.0,0.3659027999965474,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,20,random_lp_D_test_00001,97.72523175412172,97.72523175412172,1.0,0.3432892999844625,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,20,random_lp_D_test_00002,97.81041328259846,97.81041328259846,1.0,0.3219981000293046,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,20,random_lp_D_test_00003,97.7275462559939,97.7275462559939,1.0,0.3759158999891951,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,20,random_lp_D_test_00004,97.78333439652296,97.78333439652296,1.0,0.3494428000412881,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,20,random_lp_D_test_00005,97.73329843812336,97.73329843812336,1.0,0.3029138999991119,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,20,random_lp_D_test_00006,97.72905258546372,97.72905258546372,1.0,0.28290350001771,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,20,random_lp_D_test_00007,97.7940318633033,97.7940318633033,1.0,0.3500640999991447,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,20,random_lp_D_test_00008,97.7479866814014,97.7479866814014,1.0,0.3037055000895634,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,20,random_lp_D_test_00009,97.80727914825664,97.80727914825664,1.0,0.3040046000387519,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,20,random_lp_D_test_00010,97.76841749289429,97.76841749289429,1.0,0.3114627000177279,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,20,random_lp_D_test_00011,97.77435631283072,97.77435631283072,1.0,0.3723649999592453,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,30,random_lp_D_test_00000,97.76135086218711,97.76135086218711,1.0,0.3659027999965474,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,30,random_lp_D_test_00001,97.72523175412172,97.72523175412172,1.0,0.3432892999844625,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,30,random_lp_D_test_00002,97.81041328259846,97.81041328259846,1.0,0.3219981000293046,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,30,random_lp_D_test_00003,97.7275462559939,97.7275462559939,1.0,0.3759158999891951,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,30,random_lp_D_test_00004,97.78333439652296,97.78333439652296,1.0,0.3494428000412881,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,30,random_lp_D_test_00005,97.73329843812336,97.73329843812336,1.0,0.3029138999991119,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,30,random_lp_D_test_00006,97.72905258546372,97.72905258546372,1.0,0.28290350001771,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,30,random_lp_D_test_00007,97.7940318633033,97.7940318633033,1.0,0.3500640999991447,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,30,random_lp_D_test_00008,97.7479866814014,97.7479866814014,1.0,0.3037055000895634,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,30,random_lp_D_test_00009,97.80727914825664,97.80727914825664,1.0,0.3040046000387519,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,30,random_lp_D_test_00010,97.76841749289429,97.76841749289429,1.0,0.3114627000177279,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,30,random_lp_D_test_00011,97.77435631283072,97.77435631283072,1.0,0.3723649999592453,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,40,random_lp_D_test_00000,97.76135086218711,97.76135086218711,1.0,0.3659027999965474,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,40,random_lp_D_test_00001,97.72523175412172,97.72523175412172,1.0,0.3432892999844625,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,40,random_lp_D_test_00002,97.81041328259846,97.81041328259846,1.0,0.3219981000293046,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,40,random_lp_D_test_00003,97.7275462559939,97.7275462559939,1.0,0.3759158999891951,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,40,random_lp_D_test_00004,97.78333439652296,97.78333439652296,1.0,0.3494428000412881,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,40,random_lp_D_test_00005,97.73329843812336,97.73329843812336,1.0,0.3029138999991119,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,40,random_lp_D_test_00006,97.72905258546372,97.72905258546372,1.0,0.28290350001771,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,40,random_lp_D_test_00007,97.7940318633033,97.7940318633033,1.0,0.3500640999991447,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,40,random_lp_D_test_00008,97.7479866814014,97.7479866814014,1.0,0.3037055000895634,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,40,random_lp_D_test_00009,97.80727914825664,97.80727914825664,1.0,0.3040046000387519,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,40,random_lp_D_test_00010,97.76841749289429,97.76841749289429,1.0,0.3114627000177279,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,40,random_lp_D_test_00011,97.77435631283072,97.77435631283072,1.0,0.3723649999592453,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,50,random_lp_D_test_00000,97.76135086218711,97.76135086218711,1.0,0.3659027999965474,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,50,random_lp_D_test_00001,97.72523175412172,97.72523175412172,1.0,0.3432892999844625,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,50,random_lp_D_test_00002,97.81041328259846,97.81041328259846,1.0,0.3219981000293046,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,50,random_lp_D_test_00003,97.7275462559939,97.7275462559939,1.0,0.3759158999891951,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,50,random_lp_D_test_00004,97.78333439652296,97.78333439652296,1.0,0.3494428000412881,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,50,random_lp_D_test_00005,97.73329843812336,97.73329843812336,1.0,0.3029138999991119,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,50,random_lp_D_test_00006,97.72905258546372,97.72905258546372,1.0,0.28290350001771,1.0,,,,random_lp_D,RandomLP D,random_lp,,
