method,K,objective_ratio_mean,objective_ratio_se,time_mean,time_se,success_rate,n,case,title,family
CostOnly,5,0.5300492979342292,9.10283617964667e-05,0.0088247916331359,0.00041353453435679825,1.0,12,random_lp_D,RandomLP D,random_lp
CostOnly,10,0.5408233808665673,0.00010941523530689633,0.015617191646015235,0.0012676986967860122,1.0,12,random_lp_D,RandomLP D,random_lp
CostOnly,20,0.5613935172213781,0.00010769033645902201,0.030674800005120486,0.001442894885789571,1.0,12,random_lp_D,RandomLP D,random_lp
CostOnly,30,0.6743013194182508,9.342841359798064e-05,0.044751308363629456,0.0019759594691506417,1.0,12,random_lp_D,RandomLP D,random_lp
CostOnly,40,0.709878321294484,0.00010840039293713985,0.06122539165274546,0.0018491123678435826,1.0,12,random_lp_D,RandomLP D,random_lp
CostOnly,50,0.7277464978464686,9.2196362578681e-05,0.07646464167434408,0.001378420484371988,1.0,12,random_lp_D,RandomLP D,random_lp
Full,5,1.0,0.0,0.3319973500135044,0.009057040579034444,1.0,12,random_lp_D,RandomLP D,random_lp
Full,10,1.0,0.0,0.3319973500135044,0.009057040579034444,1.0,12,random_lp_D,RandomLP D,random_lp
Full,20,1.0,0.0,0.3319973500135044,0.009057040579034444,1.0,12,random_lp_D,RandomLP D,random_lp
Full,30,1.0,0.0,0.3319973500135044,0.009057040579034444,1.0,12,random_lp_D,RandomLP D,random_lp
Full,40,1.0,0.0,0.3319973500135044,0.009057040579034444,1.0,12,random_lp_D,RandomLP D,random_lp
Full,50,1.0,0.0,0.3319973500135044,0.009057040579034444,1.0,12,random_lp_D,RandomLP D,random_lp
OursEstC,5,0.9999999543420001,3.166672774554853e-08,0.005517158327468981,0.0003997963438888227,1.0,12,random_lp_D,RandomLP D,random_lp
OursEstC,10,0.9999999543420001,3.166672774554853e-08,0.005517158327468981,0.0003997963438888227,1.0,12,random_lp_D,RandomLP D,random_lp
OursEstC,20,0.9999999543420001,3.166672774554853e-08,0.005517158327468981,0.0003997963438888227,1.0,12,random_lp_D,RandomLP D,random_lp
OursEstC,30,0.9999999543420001,3.166672774554853e-08,0.005517158327468981,0.0003997963438888227,1.0,12,random_lp_D,RandomLP D,random_lp
OursEstC,40,0.9999999543420001,3.166672774554853e-08,0.005517158327468981,0.0003997963438888227,1.0,12,random_lp_D,RandomLP D,random_lp
OursEstC,50,0.9999999543420001,3.166672774554853e-08,0.005517158327468981,0.0003997963438888227,1.0,12,random_lp_D,RandomLP D,random_lp
PCA,5,0.10369814636779691,0.00015252923242464907,0.008912225021049325,0.0005456450305475266,1.0,12,random_lp_D,RandomLP D,random_lp
PCA,10,0.10369814636779691,0.00015252923242464907,0.013483983328721109,0.0008003885377444043,1.0,12,random_lp_D,RandomLP D,random_lp
PCA,20,0.10369814636779691,0.00015252923242464907,0.022711441667828042,0.0009837061836696528,1.0,12,random_lp_D,RandomLP D,random_lp
PCA,30,0.10369814636779691,0.00015252923242464907,0.028271808318095226,0.001063749729084247,1.0,12,random_lp_D,RandomLP D,random_lp
PCA,40,0.10369814636779691,0.00015252923242464907,0.03242101666789187,0.0007420578123713585,1.0,12,random_lp_D,RandomLP D,random_lp
PCA,50,0.10369814636779691,0.00015252923242464907,0.03545027499785643,0.0010366899347806183,1.0,12,random_lp_D,RandomLP D,random_lp
Rand,5,0.10650039386079745,0.00026114158031197973,0.00507431945233187,0.0001639642041246997,1.0,36,random_lp_D,RandomLP D,random_lp
Rand,10,0.10629787968631439,0.00019750046041152453,0.008201713903367266,0.00025336081501220475,1.0,36,random_lp_D,RandomLP D,random_lp
Rand,20,0.11009510706885768,0.00026899968444688715,0.013561311116467904,0.00045968666376955793,1.0,36,random_lp_D,RandomLP D,random_lp
Rand,30,0.1215170994070785,0.0008336976354833825,0.021137550001084342,0.0005272793597079352,1.0,36,random_lp_D,RandomLP D,random_lp
Rand,40,0.12016191091009142,0.00012822057302183182,0.02980705555010997,0.001017745584768627,1.0,36,random_lp_D,RandomLP D,random_lp
Rand,50,0.12749426592574611,0.0007083507467658518,0.033464644437319446,0.0008110922635695955,1.0,36,random_lp_D,RandomLP D,random_lp
SGA,5,0.3629982422110484,0.00012115000381511134,0.009040108319216667,0.000527154173674168,1.0,12,random_lp_D,RandomLP D,random_lp
SGA,10,0.3629982422110658,0.00012115000381552457,0.01621678332836984,0.00048306850968820117,1.0,12,random_lp_D,RandomLP D,random_lp
SGA,20,0.3629982422110684,0.00012115000381477855,0.026486499982032258,0.0016592801928505532,1.0,12,random_lp_D,RandomLP D,random_lp
SGA,30,0.3631144529196737,0.00012115318085685226,0.03756076665983219,0.0011266245021269927,1.0,12,random_lp_D,RandomLP D,random_lp
SGA,40,0.36309374740949,0.00012116004640027792,0.03507327500847164,0.0017335175320958875,1.0,12,random_lp_D,RandomLP D,random_lp
SGA,50,0.3630711477524753,0.00012118512700888762,0.03793688333826135,0.0014227278063760889,1.0,12,random_lp_D,RandomLP D,random_lp
