method,K,anchor_quality_mean,anchor_quality_se,success_rate,n,case,title,family
CostOnly,5,1.4134945863981143e-08,1.3386621144470292e-11,1.0,12,sc205,SC205,netlib
Full,5,1.0,0.0,1.0,12,sc205,SC205,netlib
PCA,5,0.0,0.0,1.0,12,sc205,SC205,netlib
Rand,5,0.0,0.0,1.0,36,sc205,SC205,netlib
SGA,5,0.013252014729709287,1.2282905118797385e-05,1.0,12,sc205,SC205,netlib
CostOnly,10,1.4514961983799002e-08,1.7575673664969094e-11,1.0,12,sc205,SC205,netlib
Full,10,1.0,0.0,1.0,12,sc205,SC205,netlib
PCA,10,0.0,0.0,1.0,12,sc205,SC205,netlib
Rand,10,9.340822267596525e-09,9.340822267596525e-09,1.0,36,sc205,SC205,netlib
SGA,10,0.1636781142243387,6.02958412002369e-06,1.0,12,sc205,SC205,netlib
CostOnly,20,2.0071852878486393e-08,1.79532744746219e-11,1.0,12,sc205,SC205,netlib
Full,20,1.0,0.0,1.0,12,sc205,SC205,netlib
PCA,20,0.0,0.0,1.0,12,sc205,SC205,netlib
Rand,20,0.0,0.0,1.0,36,sc205,SC205,netlib
SGA,20,0.16636032025497774,3.5851952568164016e-05,1.0,12,sc205,SC205,netlib
CostOnly,30,0.08487194417524756,2.515524600968188e-05,1.0,12,sc205,SC205,netlib
Full,30,1.0,0.0,1.0,12,sc205,SC205,netlib
PCA,30,0.0,0.0,1.0,12,sc205,SC205,netlib
Rand,30,0.0,0.0,1.0,36,sc205,SC205,netlib
SGA,30,0.22876766938059054,1.4029839447249187e-05,1.0,12,sc205,SC205,netlib
CostOnly,40,0.0980086584579697,8.11870584672587e-05,1.0,12,sc205,SC205,netlib
Full,40,1.0,0.0,1.0,12,sc205,SC205,netlib
PCA,40,0.0,0.0,1.0,12,sc205,SC205,netlib
Rand,40,1.2232852214529786e-05,4.616272806334362e-06,1.0,36,sc205,SC205,netlib
SGA,40,0.21787578810855202,1.1125273069525641e-05,1.0,12,sc205,SC205,netlib
CostOnly,50,0.7570948377190269,5.8711842154099204e-05,1.0,12,sc205,SC205,netlib
Full,50,1.0,0.0,1.0,12,sc205,SC205,netlib
PCA,50,0.0,0.0,1.0,12,sc205,SC205,netlib
Rand,50,1.3074827923971172e-05,3.477084483099653e-06,1.0,36,sc205,SC205,netlib
SGA,50,0.21416050809192658,1.3978661003606126e-05,1.0,12,sc205,SC205,netlib
