method,K,instance,objective,full_objective,objective_ratio,time,success,signed_nullspace_obj,x_std_norm,y_support_dim,case,title,family,intrinsic_K,message
Full,5,sc205_test_00000,52.19702875754299,52.19702875754299,1.0,0.0226723999949172,1.0,,,,sc205,SC205,netlib,,
Full,5,sc205_test_00001,52.211549588405646,52.211549588405646,1.0,0.0225285000633448,1.0,,,,sc205,SC205,netlib,,
Full,5,sc205_test_00002,52.21536365387508,52.21536365387508,1.0,0.0227572999428957,1.0,,,,sc205,SC205,netlib,,
Full,5,sc205_test_00003,52.17081977204316,52.17081977204316,1.0,0.0294320000102743,1.0,,,,sc205,SC205,netlib,,
Full,5,sc205_test_00004,52.23344606740945,52.23344606740945,1.0,0.0250297000166028,1.0,,,,sc205,SC205,netlib,,
Full,5,sc205_test_00005,52.17893844093941,52.17893844093941,1.0,0.0225383000215515,1.0,,,,sc205,SC205,netlib,,
Full,5,sc205_test_00006,52.05426278733905,52.05426278733905,1.0,0.0286792999831959,1.0,,,,sc205,SC205,netlib,,
Full,5,sc205_test_00007,52.19595487635029,52.19595487635029,1.0,0.0231102999532595,1.0,,,,sc205,SC205,netlib,,
Full,5,sc205_test_00008,52.18584223739274,52.18584223739274,1.0,0.0211491000372916,1.0,,,,sc205,SC205,netlib,,
Full,5,sc205_test_00009,52.17448499622607,52.17448499622607,1.0,0.0229634999996051,1.0,,,,sc205,SC205,netlib,,
Full,5,sc205_test_00010,52.12535844717157,52.12535844717157,1.0,0.0303439999697729,1.0,,,,sc205,SC205,netlib,,
Full,5,sc205_test_00011,52.14870378472361,52.14870378472361,1.0,0.0212914999574422,1.0,,,,sc205,SC205,netlib,,
Full,10,sc205_test_00000,52.19702875754299,52.19702875754299,1.0,0.0226723999949172,1.0,,,,sc205,SC205,netlib,,
Full,10,sc205_test_00001,52.211549588405646,52.211549588405646,1.0,0.0225285000633448,1.0,,,,sc205,SC205,netlib,,
Full,10,sc205_test_00002,52.21536365387508,52.21536365387508,1.0,0.0227572999428957,1.0,,,,sc205,SC205,netlib,,
Full,10,sc205_test_00003,52.17081977204316,52.17081977204316,1.0,0.0294320000102743,1.0,,,,sc205,SC205,netlib,,
Full,10,sc205_test_00004,52.23344606740945,52.23344606740945,1.0,0.0250297000166028,1.0,,,,sc205,SC205,netlib,,
Full,10,sc205_test_00005,52.17893844093941,52.17893844093941,1.0,0.0225383000215515,1.0,,,,sc205,SC205,netlib,,
Full,10,sc205_test_00006,52.05426278733905,52.05426278733905,1.0,0.0286792999831959,1.0,,,,sc205,SC205,netlib,,
Full,10,sc205_test_00007,52.19595487635029,52.19595487635029,1.0,0.0231102999532595,1.0,,,,sc205,SC205,netlib,,
Full,10,sc205_test_00008,52.18584223739274,52.18584223739274,1.0,0.0211491000372916,1.0,,,,sc205,SC205,netlib,,
Full,10,sc205_test_00009,52.17448499622607,52.17448499622607,1.0,0.0229634999996051,1.0,,,,sc205,SC205,netlib,,
Full,10,sc205_test_00010,52.12535844717157,52.12535844717157,1.0,0.0303439999697729,1.0,,,,sc205,SC205,netlib,,
Full,10,sc205_test_00011,52.14870378472361,52.14870378472361,1.0,0.0212914999574422,1.0,,,,sc205,SC205,netlib,,
Full,20,sc205_test_00000,52.19702875754299,52.19702875754299,1.0,0.0226723999949172,1.0,,,,sc205,SC205,netlib,,
Full,20,sc205_test_00001,52.211549588405646,52.211549588405646,1.0,0.0225285000633448,1.0,,,,sc205,SC205,netlib,,
Full,20,sc205_test_00002,52.21536365387508,52.21536365387508,1.0,0.0227572999428957,1.0,,,,sc205,SC205,netlib,,
Full,20,sc205_test_00003,52.17081977204316,52.17081977204316,1.0,0.0294320000102743,1.0,,,,sc205,SC205,netlib,,
