method,K,objective_ratio_mean,objective_ratio_se,time_mean,time_se,success_rate,n,case,title,family
CostOnly,5,1.4134945863981145e-08,1.3386621144470538e-11,0.009008158318465525,0.0006676108141371349,1.0,12,sc205,SC205,netlib
CostOnly,10,1.4514961983799002e-08,1.7575673664969143e-11,0.01255891665156615,0.0004633969666622557,1.0,12,sc205,SC205,netlib
CostOnly,20,2.0071852878486396e-08,1.7953274474621656e-11,0.022645999987920083,0.0008934194579594518,1.0,12,sc205,SC205,netlib
CostOnly,30,0.0848719441752475,2.5155246009677743e-05,0.03647885001070483,0.0014314058393913216,1.0,12,sc205,SC205,netlib
CostOnly,40,0.09800865845796965,8.118705846725993e-05,0.04627520001182949,0.0016205663220248887,1.0,12,sc205,SC205,netlib
CostOnly,50,0.7570948377190269,5.8711842154099204e-05,0.051015399968794804,0.0031800932773612825,1.0,12,sc205,SC205,netlib
Full,5,1.0,0.0,0.02437465832917946,0.0009372868219018527,1.0,12,sc205,SC205,netlib
Full,10,1.0,0.0,0.02437465832917946,0.0009372868219018527,1.0,12,sc205,SC205,netlib
Full,20,1.0,0.0,0.02437465832917946,0.0009372868219018527,1.0,12,sc205,SC205,netlib
Full,30,1.0,0.0,0.02437465832917946,0.0009372868219018527,1.0,12,sc205,SC205,netlib
Full,40,1.0,0.0,0.02437465832917946,0.0009372868219018527,1.0,12,sc205,SC205,netlib
Full,50,1.0,0.0,0.02437465832917946,0.0009372868219018527,1.0,12,sc205,SC205,netlib
OursEstC,5,1.0,0.0,0.0032873999928900353,7.200106347834428e-05,1.0,12,sc205,SC205,netlib
OursEstC,10,1.0,0.0,0.0032873999928900353,7.200106347834428e-05,1.0,12,sc205,SC205,netlib
OursEstC,20,1.0,0.0,0.0032873999928900353,7.200106347834428e-05,1.0,12,sc205,SC205,netlib
OursEstC,30,1.0,0.0,0.0032873999928900353,7.200106347834428e-05,1.0,12,sc205,SC205,netlib
OursEstC,40,1.0,0.0,0.0032873999928900353,7.200106347834428e-05,1.0,12,sc205,SC205,netlib
OursEstC,50,1.0,0.0,0.0032873999928900353,7.200106347834428e-05,1.0,12,sc205,SC205,netlib
PCA,5,0.0,0.0,0.005807816681529666,0.00013925149502163342,1.0,12,sc205,SC205,netlib
PCA,10,0.0,0.0,0.008959525002865058,0.0003183293499899236,1.0,12,sc205,SC205,netlib
PCA,20,0.0,0.0,0.013760391671288084,0.0011827674695210773,1.0,12,sc205,SC205,netlib
PCA,30,0.0,0.0,0.01640370000192579,0.0007359112594781119,1.0,12,sc205,SC205,netlib
PCA,40,0.0,0.0,0.016919966690087017,0.0006484981271864953,1.0,12,sc205,SC205,netlib
PCA,50,0.0,0.0,0.017091425019316344,0.000786573254828078,1.0,12,sc205,SC205,netlib
Rand,5,0.0,0.0,0.0034094027715682804,0.00011165401127640276,1.0,36,sc205,SC205,netlib
Rand,10,9.340822267596525e-09,9.340822267596525e-09,0.0043700499777009055,0.0001131477998703142,1.0,36,sc205,SC205,netlib
Rand,20,0.0,0.0,0.005020561130044728,0.00018665364916180794,1.0,36,sc205,SC205,netlib
Rand,30,0.0,0.0,0.006525702774524637,0.00016786289250427544,1.0,36,sc205,SC205,netlib
Rand,40,1.2232852214527003e-05,4.616272806332761e-06,0.007775586117835042,0.00030344263909966117,1.0,36,sc205,SC205,netlib
Rand,50,1.3074827923971172e-05,3.477084483099653e-06,0.008425416657701084,0.0003233031214568825,1.0,36,sc205,SC205,netlib
SGA,5,0.013252014729709225,1.228290511879878e-05,0.008213249966502125,0.00044086399629140565,1.0,12,sc205,SC205,netlib
SGA,10,0.16367811422433867,6.02958412002278e-06,0.009952424986598334,0.00032606175732267906,1.0,12,sc205,SC205,netlib
SGA,20,0.16636032025497768,3.585195256816466e-05,0.015988333335068657,0.0007950027569842202,1.0,12,sc205,SC205,netlib
SGA,30,0.22876766938059048,1.4029839447249511e-05,0.01852572499774391,0.0006177795804580828,1.0,12,sc205,SC205,netlib
SGA,40,0.217875788108552,1.1125273069526344e-05,0.01692072500009086,0.0005055606565003618,1.0,12,sc205,SC205,netlib
SGA,50,0.21416050809192658,1.3978661003607078e-05,0.01759192500806719,0.0004372961034228689,1.0,12,sc205,SC205,netlib
