method,K,objective_ratio_mean,objective_ratio_se,time_mean,time_se,success_rate,n,case,title,family
CostOnly,5,0.9458949042933252,0.0009486878502271,0.0079043583439972,0.0004032960258651,1.0,12,packing,Packing,packing
CostOnly,10,0.9507772256247808,0.0008757147254862,0.0076622083530915,0.0002311209507412,1.0,12,packing,Packing,packing
CostOnly,20,0.9555846364031744,0.0010501560396481,0.0100859833182766,0.0002398362335312,1.0,12,packing,Packing,packing
CostOnly,30,0.9568685993686992,0.0010048329212266,0.0130069499912981,0.0008090402480749,1.0,12,packing,Packing,packing
CostOnly,40,0.9568685993686992,0.0010048329212266,0.0164252000007157,0.0007929714685893,1.0,12,packing,Packing,packing
CostOnly,50,0.9568685993686992,0.0010048329212266,0.016525683303674,0.0005647263889784,1.0,12,packing,Packing,packing
Full,5,1.0,0.0,0.0051486166679144,0.0001939503226833,1.0,12,packing,Packing,packing
Full,10,1.0,0.0,0.0051486166679144,0.0001939503226833,1.0,12,packing,Packing,packing
Full,20,1.0,0.0,0.0051486166679144,0.0001939503226833,1.0,12,packing,Packing,packing
Full,30,1.0,0.0,0.0051486166679144,0.0001939503226833,1.0,12,packing,Packing,packing
Full,40,1.0,0.0,0.0051486166679144,0.0001939503226833,1.0,12,packing,Packing,packing
Full,50,1.0,0.0,0.0051486166679144,0.0001939503226833,1.0,12,packing,Packing,packing
OursEstC,5,0.9876640593091448,0.0011084666444747,0.0033666500045607,0.0001361808717185,1.0,12,packing,Packing,packing
OursEstC,10,0.9876640593091448,0.0011084666444747,0.0033666500045607,0.0001361808717185,1.0,12,packing,Packing,packing
OursEstC,20,0.9876640593091448,0.0011084666444747,0.0033666500045607,0.0001361808717185,1.0,12,packing,Packing,packing
OursEstC,30,0.9876640593091448,0.0011084666444747,0.0033666500045607,0.0001361808717185,1.0,12,packing,Packing,packing
OursEstC,40,0.9876640593091448,0.0011084666444747,0.0033666500045607,0.0001361808717185,1.0,12,packing,Packing,packing
OursEstC,50,0.9876640593091448,0.0011084666444747,0.0033666500045607,0.0001361808717185,1.0,12,packing,Packing,packing
PCA,5,0.9821047411676208,0.0010826475509099,0.0066427666558107,0.0007017044264584,1.0,12,packing,Packing,packing
PCA,10,0.9853082869163754,0.0010619023885565,0.007721866655629,0.0003453398027707,1.0,12,packing,Packing,packing
PCA,20,0.9903643313946432,0.0008278513322463,0.0114168749908761,0.0004385813748533,1.0,12,packing,Packing,packing
PCA,30,0.9919428663586785,0.0006950786934171,0.0134307333307029,0.0006694462935277,1.0,12,packing,Packing,packing
PCA,40,0.9919428663586785,0.0006950786934171,0.0131581249879672,0.0010741693994559,1.0,12,packing,Packing,packing
PCA,50,0.9919428663586785,0.0006950786934171,0.0132614333415403,0.0008532513250547,1.0,12,packing,Packing,packing
Rand,5,0.011495159734947,0.0013774257070082,0.0029187083386608,8.399282231296221e-05,1.0,36,packing,Packing,packing
Rand,10,0.0588636676649857,0.0014072235643665,0.0044472555487623,0.0002430009073684,1.0,36,packing,Packing,packing
Rand,20,0.092616330284963,0.0027680842110737,0.0038488888983717,0.000172542589597,1.0,36,packing,Packing,packing
Rand,30,0.1619767802001676,0.0075893064486678,0.0042635416612028,8.503231172842655e-05,1.0,36,packing,Packing,packing
Rand,40,0.2021759877094008,0.0013933515961605,0.0038572666623318,0.0001718675998971,1.0,36,packing,Packing,packing
Rand,50,0.2843069960367173,0.0167633195899232,0.0045065111157276,0.0002218062226356,1.0,36,packing,Packing,packing
SGA,5,0.977571440203281,0.0010968398088074,0.0064016666729002,0.0003313099129319,1.0,12,packing,Packing,packing
SGA,10,0.9775714402032808,0.0010968398088074,0.0071268916653934,0.0002581979944728,1.0,12,packing,Packing,packing
