method,K,objective_ratio_mean,objective_ratio_se,time_mean,time_se,success_rate,n,case,title,family
CostOnly,5,2.8861174827541856e-07,4.190593712706896e-12,0.0120988250127992,0.0008521705473438,1.0,12,grow7,GROW7,netlib
CostOnly,10,2.8924948681679897e-07,4.438364846910735e-12,0.0184937333688139,0.00075946875934,1.0,12,grow7,GROW7,netlib
CostOnly,20,2.9229456747654225e-07,5.525681718058782e-12,0.0321619167225434,0.0008557362040521,1.0,12,grow7,GROW7,netlib
CostOnly,30,2.92303335699064e-07,4.605880850438833e-12,0.0440111083347194,0.0013740343978258,1.0,12,grow7,GROW7,netlib
CostOnly,40,0.0139457532330749,5.537581627682596e-07,0.0687660916591993,0.0016376069124772,1.0,12,grow7,GROW7,netlib
CostOnly,50,0.5930852064984236,5.741722513271867e-06,0.0820203833573031,0.003624170520192,1.0,12,grow7,GROW7,netlib
Full,5,1.0,0.0,0.2470572250216112,0.0112751818901552,1.0,12,grow7,GROW7,netlib
Full,10,1.0,0.0,0.2470572250216112,0.0112751818901552,1.0,12,grow7,GROW7,netlib
Full,20,1.0,0.0,0.2470572250216112,0.0112751818901552,1.0,12,grow7,GROW7,netlib
Full,30,1.0,0.0,0.2470572250216112,0.0112751818901552,1.0,12,grow7,GROW7,netlib
Full,40,1.0,0.0,0.2470572250216112,0.0112751818901552,1.0,12,grow7,GROW7,netlib
Full,50,1.0,0.0,0.2470572250216112,0.0112751818901552,1.0,12,grow7,GROW7,netlib
OursEstC,5,0.9999794481547704,5.0909410116034725e-06,0.0120208500205383,0.0005508083487403,1.0,12,grow7,GROW7,netlib
OursEstC,10,0.9999794481547704,5.0909410116034725e-06,0.0120208500205383,0.0005508083487403,1.0,12,grow7,GROW7,netlib
OursEstC,20,0.9999794481547704,5.0909410116034725e-06,0.0120208500205383,0.0005508083487403,1.0,12,grow7,GROW7,netlib
OursEstC,30,0.9999794481547704,5.0909410116034725e-06,0.0120208500205383,0.0005508083487403,1.0,12,grow7,GROW7,netlib
OursEstC,40,0.9999794481547704,5.0909410116034725e-06,0.0120208500205383,0.0005508083487403,1.0,12,grow7,GROW7,netlib
OursEstC,50,0.9999794481547704,5.0909410116034725e-06,0.0120208500205383,0.0005508083487403,1.0,12,grow7,GROW7,netlib
PCA,5,0.0,0.0,0.0143275749966656,0.0012689371878293,1.0,12,grow7,GROW7,netlib
PCA,10,0.0,0.0,0.0195439666761861,0.0010330510082495,1.0,12,grow7,GROW7,netlib
PCA,20,0.0,0.0,0.0354751583363394,0.0017853003489842,1.0,12,grow7,GROW7,netlib
PCA,30,0.0,0.0,0.037954366688306,0.0011797640705713,1.0,12,grow7,GROW7,netlib
PCA,40,0.0,0.0,0.0391878416897573,0.0009871216739935,1.0,12,grow7,GROW7,netlib
PCA,50,0.0,0.0,0.0478004833275917,0.0017685129720233,1.0,12,grow7,GROW7,netlib
Rand,5,0.0,0.0,0.0079016499997426,0.0002798290014521,1.0,36,grow7,GROW7,netlib
Rand,10,0.0,0.0,0.0092336777727015,0.0002594231220188,1.0,36,grow7,GROW7,netlib
Rand,20,0.0,0.0,0.0156313666666391,0.0004230566823593,1.0,36,grow7,GROW7,netlib
Rand,30,0.0,0.0,0.0206325111018182,0.0005164603086683,1.0,36,grow7,GROW7,netlib
Rand,40,0.0,0.0,0.0279793666720959,0.0009668682088757,1.0,36,grow7,GROW7,netlib
Rand,50,0.0,0.0,0.033438619442879,0.0008888411762113,1.0,36,grow7,GROW7,netlib
SGA,5,0.0252875883859737,2.66740570541512e-07,0.0109954666889582,0.0002434930100081,1.0,12,grow7,GROW7,netlib
SGA,10,0.0253658496525729,2.676474889289272e-07,0.0216546166629995,0.000476935288207,1.0,12,grow7,GROW7,netlib
SGA,20,0.0275366744824188,3.0710924063037653e-07,0.0421021916748334,0.0010379448689734,1.0,12,grow7,GROW7,netlib
SGA,30,0.0433185859291409,6.816279522282011e-07,0.0512739249970763,0.0013552581824729,1.0,12,grow7,GROW7,netlib
SGA,40,0.0433185859291409,6.816279522282011e-07,0.0529565166701407,0.0018322475579269,1.0,12,grow7,GROW7,netlib
SGA,50,0.0433185859291409,6.816279522282011e-07,0.0594375916698481,0.0021032760881768,1.0,12,grow7,GROW7,netlib
CostOnly,5,1.4134945863981145e-08,1.3386621144470538e-11,0.0090081583184655,0.0006676108141371,1.0,12,sc205,SC205,netlib
CostOnly,10,1.4514961983799002e-08,1.7575673664969143e-11,0.0125589166515661,0.0004633969666622,1.0,12,sc205,SC205,netlib
CostOnly,20,2.00718528784864e-08,1.7953274474621656e-11,0.02264599998792,0.0008934194579594,1.0,12,sc205,SC205,netlib
CostOnly,30,0.0848719441752475,2.5155246009677743e-05,0.0364788500107048,0.0014314058393913,1.0,12,sc205,SC205,netlib
CostOnly,40,0.0980086584579696,8.118705846725993e-05,0.0462752000118294,0.0016205663220248,1.0,12,sc205,SC205,netlib
CostOnly,50,0.7570948377190269,5.87118421540992e-05,0.0510153999687948,0.0031800932773612,1.0,12,sc205,SC205,netlib
Full,5,1.0,0.0,0.0243746583291794,0.0009372868219018,1.0,12,sc205,SC205,netlib
Full,10,1.0,0.0,0.0243746583291794,0.0009372868219018,1.0,12,sc205,SC205,netlib
Full,20,1.0,0.0,0.0243746583291794,0.0009372868219018,1.0,12,sc205,SC205,netlib
Full,30,1.0,0.0,0.0243746583291794,0.0009372868219018,1.0,12,sc205,SC205,netlib
