method,K,objective_ratio_mean,objective_ratio_se,time_mean,time_se,success_rate,n,case,title,family
Full,5,1.0,0.0,0.0051486166679144,0.0001939503226833,1.0,12,packing,Packing,packing
Full,10,1.0,0.0,0.0051486166679144,0.0001939503226833,1.0,12,packing,Packing,packing
Full,20,1.0,0.0,0.0051486166679144,0.0001939503226833,1.0,12,packing,Packing,packing
Full,30,1.0,0.0,0.0051486166679144,0.0001939503226833,1.0,12,packing,Packing,packing
Full,40,1.0,0.0,0.0051486166679144,0.0001939503226833,1.0,12,packing,Packing,packing
Full,50,1.0,0.0,0.0051486166679144,0.0001939503226833,1.0,12,packing,Packing,packing
OursEstC,5,0.9876640593091448,0.0011084666444747,0.0033666500045607,0.0001361808717185,1.0,12,packing,Packing,packing
OursEstC,10,0.9876640593091448,0.0011084666444747,0.0033666500045607,0.0001361808717185,1.0,12,packing,Packing,packing
OursEstC,20,0.9876640593091448,0.0011084666444747,0.0033666500045607,0.0001361808717185,1.0,12,packing,Packing,packing
OursEstC,30,0.9876640593091448,0.0011084666444747,0.0033666500045607,0.0001361808717185,1.0,12,packing,Packing,packing
OursEstC,40,0.9876640593091448,0.0011084666444747,0.0033666500045607,0.0001361808717185,1.0,12,packing,Packing,packing
OursEstC,50,0.9876640593091448,0.0011084666444747,0.0033666500045607,0.0001361808717185,1.0,12,packing,Packing,packing
Rand,5,0.011495159734947,0.0013774257070082,0.0029187083386608,8.399282231296221e-05,1.0,36,packing,Packing,packing
Rand,10,0.0588636676649857,0.0014072235643665,0.0044472555487623,0.0002430009073684,1.0,36,packing,Packing,packing
Rand,20,0.092616330284963,0.0027680842110737,0.0038488888983717,0.000172542589597,1.0,36,packing,Packing,packing
Rand,30,0.1619767802001676,0.0075893064486678,0.0042635416612028,8.503231172842655e-05,1.0,36,packing,Packing,packing
Rand,40,0.2021759877094008,0.0013933515961605,0.0038572666623318,0.0001718675998971,1.0,36,packing,Packing,packing
Rand,50,0.2843069960367173,0.0167633195899232,0.0045065111157276,0.0002218062226356,1.0,36,packing,Packing,packing
DataDriven,5,0.977571440203281,0.0010968398088074,0.0064016666729002,0.0003313099129319,1.0,12,packing,Packing,packing
DataDriven,10,0.9775714402032808,0.0010968398088074,0.0071268916653934,0.0002581979944728,1.0,12,packing,Packing,packing
DataDriven,20,0.9775714402032806,0.0010968398088074,0.0120165999881767,0.0006393562242212,1.0,12,packing,Packing,packing
DataDriven,30,0.9775714402032806,0.0010968398088074,0.0129780416609719,0.0004101123705348,1.0,12,packing,Packing,packing
DataDriven,40,0.9775714402032806,0.0010968398088074,0.0129757499865566,0.0006389212511648,1.0,12,packing,Packing,packing
DataDriven,50,0.9775714402032806,0.0010968398088074,0.0099697666397938,0.0006016924087858,1.0,12,packing,Packing,packing
CostOnly,5,0.9458949042933252,0.0009486878502271,0.0079043583439972,0.0004032960258651,1.0,12,packing,Packing,packing
CostOnly,10,0.9507772256247808,0.0008757147254862,0.0076622083530915,0.0002311209507412,1.0,12,packing,Packing,packing
CostOnly,20,0.9555846364031744,0.0010501560396481,0.0100859833182766,0.0002398362335312,1.0,12,packing,Packing,packing
CostOnly,30,0.9568685993686992,0.0010048329212266,0.0130069499912981,0.0008090402480749,1.0,12,packing,Packing,packing
CostOnly,40,0.9568685993686992,0.0010048329212266,0.0164252000007157,0.0007929714685893,1.0,12,packing,Packing,packing
CostOnly,50,0.9568685993686992,0.0010048329212266,0.016525683303674,0.0005647263889784,1.0,12,packing,Packing,packing
Full,5,1.0,0.0,0.4439433666799838,0.0091474323074297,1.0,12,mincostflow,MinCostFlow,mincostflow
Full,10,1.0,0.0,0.4439433666799838,0.0091474323074297,1.0,12,mincostflow,MinCostFlow,mincostflow
Full,20,1.0,0.0,0.4439433666799838,0.0091474323074297,1.0,12,mincostflow,MinCostFlow,mincostflow
Full,30,1.0,0.0,0.4439433666799838,0.0091474323074297,1.0,12,mincostflow,MinCostFlow,mincostflow
Full,40,1.0,0.0,0.4439433666799838,0.0091474323074297,1.0,12,mincostflow,MinCostFlow,mincostflow
Full,50,1.0,0.0,0.4439433666799838,0.0091474323074297,1.0,12,mincostflow,MinCostFlow,mincostflow
OursEstC,5,0.9999472864315836,3.577157100525376e-05,0.0048751666618045,0.0001759390431194,1.0,12,mincostflow,MinCostFlow,mincostflow
OursEstC,10,0.9999472864315836,3.577157100525376e-05,0.0048751666618045,0.0001759390431194,1.0,12,mincostflow,MinCostFlow,mincostflow
OursEstC,20,0.9999472864315836,3.577157100525376e-05,0.0048751666618045,0.0001759390431194,1.0,12,mincostflow,MinCostFlow,mincostflow
OursEstC,30,0.9999472864315836,3.577157100525376e-05,0.0048751666618045,0.0001759390431194,1.0,12,mincostflow,MinCostFlow,mincostflow
OursEstC,40,0.9999472864315836,3.577157100525376e-05,0.0048751666618045,0.0001759390431194,1.0,12,mincostflow,MinCostFlow,mincostflow
OursEstC,50,0.9999472864315836,3.577157100525376e-05,0.0048751666618045,0.0001759390431194,1.0,12,mincostflow,MinCostFlow,mincostflow
Rand,5,0.655502359359111,0.000126043972871,0.0059055222340652,0.0002050317660607,1.0,36,mincostflow,MinCostFlow,mincostflow
Rand,10,0.655502359359111,0.000126043972871,0.0079973583342507,0.000394246065871,1.0,36,mincostflow,MinCostFlow,mincostflow
Rand,20,0.655502359359111,0.000126043972871,0.0170786083132649,0.0007035282171485,1.0,36,mincostflow,MinCostFlow,mincostflow
Rand,30,0.655502359359111,0.000126043972871,0.0207345750208736,0.0007822320337881,1.0,36,mincostflow,MinCostFlow,mincostflow
Rand,40,0.655502359359111,0.000126043972871,0.0264844610970208,0.0012467205789372,1.0,36,mincostflow,MinCostFlow,mincostflow
Rand,50,0.655502359359111,0.000126043972871,0.037392297209913,0.0009793754597501,1.0,36,mincostflow,MinCostFlow,mincostflow
DataDriven,5,0.655502359359111,0.0002248328486997,0.0058415000191113,0.0003018471945001,1.0,12,mincostflow,MinCostFlow,mincostflow
DataDriven,10,0.9998821830833604,3.8333812703924e-05,0.0095527249989875,0.0004108060778916,1.0,12,mincostflow,MinCostFlow,mincostflow
DataDriven,20,0.999999999999995,1.840081945256704e-15,0.0212685333293241,0.0013132764883387,1.0,12,mincostflow,MinCostFlow,mincostflow
DataDriven,30,1.000000000000001,2.3250513069916974e-15,0.0286473249919556,0.0009715235021212,1.0,12,mincostflow,MinCostFlow,mincostflow
DataDriven,40,1.000000000000001,2.3250513069916974e-15,0.0311298666832347,0.0012890846351163,1.0,12,mincostflow,MinCostFlow,mincostflow
DataDriven,50,1.000000000000001,2.3250513069916974e-15,0.0406895500006308,0.0011263694348382,1.0,12,mincostflow,MinCostFlow,mincostflow
CostOnly,5,0.6555030217401264,0.000224832965404,0.0150061500219938,0.0014390047010767,1.0,12,mincostflow,MinCostFlow,mincostflow
