case,title,family,method,K,objective_ratio_mean,objective_ratio_se,seed_count
grow7,GROW7,netlib,CostOnly,5,2.885049379934995e-07,1.8336315033470524e-10,2
grow7,GROW7,netlib,CostOnly,10,2.892954928839465e-07,2.2562274436400109e-10,2
grow7,GROW7,netlib,CostOnly,20,2.9227515608602427e-07,1.852143859591453e-11,2
grow7,GROW7,netlib,CostOnly,30,0.006641501946780038,0.006641209648740761,2
grow7,GROW7,netlib,CostOnly,40,0.010289814515311479,0.01027599839965702,2
grow7,GROW7,netlib,CostOnly,50,0.32190706779351685,0.26985494504491964,2
grow7,GROW7,netlib,Full,5,1.0,0.0,2
grow7,GROW7,netlib,Full,10,1.0,0.0,2
grow7,GROW7,netlib,Full,20,1.0,0.0,2
grow7,GROW7,netlib,Full,30,1.0,0.0,2
grow7,GROW7,netlib,Full,40,1.0,0.0,2
grow7,GROW7,netlib,Full,50,1.0,0.0,2
grow7,GROW7,netlib,OursExact,5,0.9999999999999849,2.5313084961453566e-14,2
grow7,GROW7,netlib,OursExact,10,0.9999999999999849,2.5313084961453566e-14,2
grow7,GROW7,netlib,OursExact,20,0.9999999999999849,2.5313084961453566e-14,2
grow7,GROW7,netlib,OursExact,30,0.9999999999999849,2.5313084961453566e-14,2
grow7,GROW7,netlib,OursExact,40,0.9999999999999849,2.5313084961453566e-14,2
grow7,GROW7,netlib,OursExact,50,0.9999999999999849,2.5313084961453566e-14,2
grow7,GROW7,netlib,PCA,5,0.0,0.0,2
grow7,GROW7,netlib,PCA,10,0.0,0.0,2
grow7,GROW7,netlib,PCA,20,0.0,0.0,2
grow7,GROW7,netlib,PCA,30,0.0,0.0,2
grow7,GROW7,netlib,PCA,40,0.0,0.0,2
grow7,GROW7,netlib,PCA,50,0.0,0.0,2
grow7,GROW7,netlib,Rand,5,0.0,0.0,2
grow7,GROW7,netlib,Rand,10,0.0,0.0,2
grow7,GROW7,netlib,Rand,20,0.0,0.0,2
grow7,GROW7,netlib,Rand,30,0.0,0.0,2
grow7,GROW7,netlib,Rand,40,0.0,0.0,2
grow7,GROW7,netlib,Rand,50,0.0,0.0,2
grow7,GROW7,netlib,SGA,5,0.02613095815485795,0.0029392043091228497,2
grow7,GROW7,netlib,SGA,10,0.029759602884886,0.0025937768707682985,2
grow7,GROW7,netlib,SGA,20,0.03756623224089195,0.008147378996293947,2
grow7,GROW7,netlib,SGA,30,0.045761684302159406,0.0037426374439103005,2
grow7,GROW7,netlib,SGA,40,0.04577350079004195,0.0037544539317928487,2
grow7,GROW7,netlib,SGA,50,0.04566417009729215,0.0036451232390430494,2
sc205,SC205,netlib,CostOnly,5,1.4350585748464733e-08,1.6004162524554763e-10,2
sc205,SC205,netlib,CostOnly,10,1.5052066505804364e-08,1.6869516359813888e-10,2
sc205,SC205,netlib,CostOnly,20,2.134868347524242e-08,1.0896337815923832e-09,2
sc205,SC205,netlib,CostOnly,30,2.359415892101705e-08,1.9030889112048203e-11,2
sc205,SC205,netlib,CostOnly,40,0.024354619720144105,0.024354596106954292,2
sc205,SC205,netlib,CostOnly,50,0.7835297959651442,0.011131138761212633,2
sc205,SC205,netlib,Full,5,1.0,0.0,2
sc205,SC205,netlib,Full,10,1.0,0.0,2
sc205,SC205,netlib,Full,20,1.0,0.0,2
sc205,SC205,netlib,Full,30,1.0,0.0,2
sc205,SC205,netlib,Full,40,1.0,0.0,2
sc205,SC205,netlib,Full,50,1.0,0.0,2
sc205,SC205,netlib,OursExact,5,1.0,0.0,2
sc205,SC205,netlib,OursExact,10,1.0,0.0,2
sc205,SC205,netlib,OursExact,20,1.0,0.0,2
sc205,SC205,netlib,OursExact,30,1.0,0.0,2
sc205,SC205,netlib,OursExact,40,1.0,0.0,2
sc205,SC205,netlib,OursExact,50,1.0,0.0,2
sc205,SC205,netlib,PCA,5,0.0,0.0,2
sc205,SC205,netlib,PCA,10,0.0,0.0,2
sc205,SC205,netlib,PCA,20,0.0,0.0,2
sc205,SC205,netlib,PCA,30,0.500000000000039,0.500000000000039,2
sc205,SC205,netlib,PCA,40,0.500000000000039,0.500000000000039,2
sc205,SC205,netlib,PCA,50,0.500000000000039,0.500000000000039,2
sc205,SC205,netlib,Rand,5,0.0,0.0,2
sc205,SC205,netlib,Rand,10,5.076870665967138e-08,3.4844299316742085e-08,2
sc205,SC205,netlib,Rand,20,2.3702212904622146e-07,2.3702212904622143e-07,2
sc205,SC205,netlib,Rand,30,0.0,0.0,2
sc205,SC205,netlib,Rand,40,1.8505102546768816e-05,1.4617088484179945e-05,2
sc205,SC205,netlib,Rand,50,4.6944698690024446e-05,1.182834359343788e-05,2
sc205,SC205,netlib,SGA,5,0.0008671286465348001,0.00025346610817309997,2
sc205,SC205,netlib,SGA,10,0.10356250160584099,0.06192498961487129,2
sc205,SC205,netlib,SGA,20,0.16756529657147606,0.035494087511371245,2
sc205,SC205,netlib,SGA,30,0.2178491944618191,0.07457423943353281,2
sc205,SC205,netlib,SGA,40,0.2178491944618191,0.07457423943353281,2
sc205,SC205,netlib,SGA,50,0.2178491944618191,0.07457423943353281,2
scagr25,SCAGR25,netlib,CostOnly,5,0.3879377580138947,1.468752759969938e-07,2
scagr25,SCAGR25,netlib,CostOnly,10,0.3879377649420407,1.5380342199833308e-07,2
scagr25,SCAGR25,netlib,CostOnly,20,0.38793778364134374,1.7250272504876205e-07,2
