case,title,family,method,K,objective_ratio_mean,objective_ratio_se,seed_count
maxflow,MaxFlow,maxflow,CostOnly,5,0.9999659816735684,7.039629305594097e-06,2
maxflow,MaxFlow,maxflow,CostOnly,10,0.999965904468457,1.9016073403710365e-06,2
maxflow,MaxFlow,maxflow,CostOnly,20,0.9999662310960749,2.9805477612110387e-06,2
maxflow,MaxFlow,maxflow,CostOnly,30,0.9999662310960749,2.9805477612110387e-06,2
maxflow,MaxFlow,maxflow,CostOnly,40,0.9999662310960749,2.9805477612110387e-06,2
maxflow,MaxFlow,maxflow,CostOnly,50,0.9999662310960749,2.9805477612110387e-06,2
maxflow,MaxFlow,maxflow,Full,5,1.0,0.0,2
maxflow,MaxFlow,maxflow,Full,10,1.0,0.0,2
maxflow,MaxFlow,maxflow,Full,20,1.0,0.0,2
maxflow,MaxFlow,maxflow,Full,30,1.0,0.0,2
maxflow,MaxFlow,maxflow,Full,40,1.0,0.0,2
maxflow,MaxFlow,maxflow,Full,50,1.0,0.0,2
maxflow,MaxFlow,maxflow,OursExact,5,0.9999622066742452,8.996150335782714e-07,2
maxflow,MaxFlow,maxflow,OursExact,10,0.9999622066742452,8.996150335782714e-07,2
maxflow,MaxFlow,maxflow,OursExact,20,0.9999622066742452,8.996150335782714e-07,2
maxflow,MaxFlow,maxflow,OursExact,30,0.9999622066742452,8.996150335782714e-07,2
maxflow,MaxFlow,maxflow,OursExact,40,0.9999622066742452,8.996150335782714e-07,2
maxflow,MaxFlow,maxflow,OursExact,50,0.9999622066742452,8.996150335782714e-07,2
maxflow,MaxFlow,maxflow,PCA,5,0.9999748192166611,6.293712933203022e-06,2
maxflow,MaxFlow,maxflow,PCA,10,0.9999931350270186,2.1114951478939936e-06,2
maxflow,MaxFlow,maxflow,PCA,20,1.0,0.0,2
maxflow,MaxFlow,maxflow,PCA,30,1.0,0.0,2
maxflow,MaxFlow,maxflow,PCA,40,1.0,0.0,2
maxflow,MaxFlow,maxflow,PCA,50,1.0,0.0,2
maxflow,MaxFlow,maxflow,Rand,5,2.775762032570153e-09,6.3692692238443386e-12,2
maxflow,MaxFlow,maxflow,Rand,10,9.767786356592698e-09,9.205550893659092e-12,2
maxflow,MaxFlow,maxflow,Rand,20,2.1477683798003858e-08,4.867700603840654e-09,2
maxflow,MaxFlow,maxflow,Rand,30,3.320206045899723e-08,4.232386995200664e-09,2
maxflow,MaxFlow,maxflow,Rand,40,3.819113778111464e-08,6.280689636269192e-10,2
maxflow,MaxFlow,maxflow,Rand,50,3.5500051684533495e-08,2.019244767810897e-09,2
maxflow,MaxFlow,maxflow,SGA,5,0.9999536610146493,7.4971209477747705e-06,2
maxflow,MaxFlow,maxflow,SGA,10,0.9999536610146493,7.4971209477747705e-06,2
maxflow,MaxFlow,maxflow,SGA,20,0.9999576160653791,1.1452171677583944e-05,2
maxflow,MaxFlow,maxflow,SGA,30,0.9999576160653791,1.1452171677583944e-05,2
maxflow,MaxFlow,maxflow,SGA,40,0.9999576160653791,1.1452171677583944e-05,2
maxflow,MaxFlow,maxflow,SGA,50,0.9999576160653791,1.1452171677583944e-05,2
mincostflow,MinCostFlow,mincostflow,CostOnly,5,0.6544222751315802,0.0006331407512290554,2
mincostflow,MinCostFlow,mincostflow,CostOnly,10,0.6544222761243474,0.0006331411277756271,2
mincostflow,MinCostFlow,mincostflow,CostOnly,20,0.6544222772764461,0.0006331416345431994,2
mincostflow,MinCostFlow,mincostflow,CostOnly,30,0.654422277690749,0.0006331417129710192,2
mincostflow,MinCostFlow,mincostflow,CostOnly,40,0.654422277690749,0.0006331417129710192,2
mincostflow,MinCostFlow,mincostflow,CostOnly,50,0.654422277690749,0.0006331417129710192,2
mincostflow,MinCostFlow,mincostflow,Full,5,1.0,0.0,2
mincostflow,MinCostFlow,mincostflow,Full,10,1.0,0.0,2
mincostflow,MinCostFlow,mincostflow,Full,20,1.0,0.0,2
mincostflow,MinCostFlow,mincostflow,Full,30,1.0,0.0,2
mincostflow,MinCostFlow,mincostflow,Full,40,1.0,0.0,2
mincostflow,MinCostFlow,mincostflow,Full,50,1.0,0.0,2
mincostflow,MinCostFlow,mincostflow,OursExact,5,0.999929385263715,7.061473628500181e-05,2
mincostflow,MinCostFlow,mincostflow,OursExact,10,0.999929385263715,7.061473628500181e-05,2
mincostflow,MinCostFlow,mincostflow,OursExact,20,0.999929385263715,7.061473628500181e-05,2
mincostflow,MinCostFlow,mincostflow,OursExact,30,0.999929385263715,7.061473628500181e-05,2
mincostflow,MinCostFlow,mincostflow,OursExact,40,0.999929385263715,7.061473628500181e-05,2
mincostflow,MinCostFlow,mincostflow,OursExact,50,0.999929385263715,7.061473628500181e-05,2
mincostflow,MinCostFlow,mincostflow,PCA,5,0.6544215633400742,0.0006331902443243997,2
mincostflow,MinCostFlow,mincostflow,PCA,10,0.6544215633400742,0.0006331902443243997,2
mincostflow,MinCostFlow,mincostflow,PCA,20,0.826866597701656,0.1730782246059063,2
mincostflow,MinCostFlow,mincostflow,PCA,30,0.9999724111537784,2.7588846218007387e-05,2
mincostflow,MinCostFlow,mincostflow,PCA,40,0.9999724111537784,2.7588846218007387e-05,2
mincostflow,MinCostFlow,mincostflow,PCA,50,0.9999724111537784,2.7588846218007387e-05,2
mincostflow,MinCostFlow,mincostflow,Rand,5,0.6544215633400742,0.0006331902443243997,2
mincostflow,MinCostFlow,mincostflow,Rand,10,0.6544215633400742,0.0006331902443243997,2
mincostflow,MinCostFlow,mincostflow,Rand,20,0.6544215633400742,0.0006331902443243997,2
mincostflow,MinCostFlow,mincostflow,Rand,30,0.6544215633400742,0.0006331902443243997,2
mincostflow,MinCostFlow,mincostflow,Rand,40,0.6544215633400742,0.0006331902443243997,2
mincostflow,MinCostFlow,mincostflow,Rand,50,0.6544215633400742,0.0006331902443243997,2
mincostflow,MinCostFlow,mincostflow,SGA,5,0.9817496567775268,0.004869626897999968,2
mincostflow,MinCostFlow,mincostflow,SGA,10,0.9817496567775268,0.004869626897999968,2
mincostflow,MinCostFlow,mincostflow,SGA,20,0.9817496567775268,0.004869626897999968,2
mincostflow,MinCostFlow,mincostflow,SGA,30,0.9869841467032533,0.004241942067521265,2
mincostflow,MinCostFlow,mincostflow,SGA,40,0.9846807441556293,0.0019385395198973643,2
mincostflow,MinCostFlow,mincostflow,SGA,50,0.9869841467032533,0.004241942067521265,2
packing,Packing,packing,CostOnly,5,0.9452193380246607,0.00010482025565955454,2
packing,Packing,packing,CostOnly,10,0.9503361070360135,0.0002205075385570132,2
packing,Packing,packing,CostOnly,20,0.9551227882890598,0.001064819012385587,2
packing,Packing,packing,CostOnly,30,0.9565195262303182,0.0012302584266770111,2
