sample,rank_after_sample,case,title,family
0,0,grow7,GROW7,netlib
1,97,grow7,GROW7,netlib
2,97,grow7,GROW7,netlib
3,97,grow7,GROW7,netlib
4,97,grow7,GROW7,netlib
5,97,grow7,GROW7,netlib
6,97,grow7,GROW7,netlib
7,97,grow7,GROW7,netlib
8,97,grow7,GROW7,netlib
9,97,grow7,GROW7,netlib
10,97,grow7,GROW7,netlib
11,97,grow7,GROW7,netlib
12,97,grow7,GROW7,netlib
13,97,grow7,GROW7,netlib
14,97,grow7,GROW7,netlib
15,97,grow7,GROW7,netlib
16,97,grow7,GROW7,netlib
17,97,grow7,GROW7,netlib
18,97,grow7,GROW7,netlib
19,97,grow7,GROW7,netlib
20,97,grow7,GROW7,netlib
21,97,grow7,GROW7,netlib
22,97,grow7,GROW7,netlib
23,97,grow7,GROW7,netlib
24,97,grow7,GROW7,netlib
0,0,sc205,SC205,netlib
1,1,sc205,SC205,netlib
2,1,sc205,SC205,netlib
3,3,sc205,SC205,netlib
4,3,sc205,SC205,netlib
5,4,sc205,SC205,netlib
6,4,sc205,SC205,netlib
7,4,sc205,SC205,netlib
8,4,sc205,SC205,netlib
9,4,sc205,SC205,netlib
10,4,sc205,SC205,netlib
11,4,sc205,SC205,netlib
12,5,sc205,SC205,netlib
13,5,sc205,SC205,netlib
14,5,sc205,SC205,netlib
15,5,sc205,SC205,netlib
16,5,sc205,SC205,netlib
17,5,sc205,SC205,netlib
18,5,sc205,SC205,netlib
19,5,sc205,SC205,netlib
20,5,sc205,SC205,netlib
21,5,sc205,SC205,netlib
22,5,sc205,SC205,netlib
23,5,sc205,SC205,netlib
24,5,sc205,SC205,netlib
0,0,scagr25,SCAGR25,netlib
1,14,scagr25,SCAGR25,netlib
2,14,scagr25,SCAGR25,netlib
3,14,scagr25,SCAGR25,netlib
4,14,scagr25,SCAGR25,netlib
5,14,scagr25,SCAGR25,netlib
6,14,scagr25,SCAGR25,netlib
7,14,scagr25,SCAGR25,netlib
8,14,scagr25,SCAGR25,netlib
9,14,scagr25,SCAGR25,netlib
10,14,scagr25,SCAGR25,netlib
11,14,scagr25,SCAGR25,netlib
12,14,scagr25,SCAGR25,netlib
13,14,scagr25,SCAGR25,netlib
14,14,scagr25,SCAGR25,netlib
15,14,scagr25,SCAGR25,netlib
16,14,scagr25,SCAGR25,netlib
17,14,scagr25,SCAGR25,netlib
18,14,scagr25,SCAGR25,netlib
19,14,scagr25,SCAGR25,netlib
20,14,scagr25,SCAGR25,netlib
21,14,scagr25,SCAGR25,netlib
22,14,scagr25,SCAGR25,netlib
23,14,scagr25,SCAGR25,netlib
24,14,scagr25,SCAGR25,netlib
0,0,stair,STAIR,netlib
1,1,stair,STAIR,netlib
2,1,stair,STAIR,netlib
3,1,stair,STAIR,netlib
4,1,stair,STAIR,netlib
5,1,stair,STAIR,netlib
6,1,stair,STAIR,netlib
7,1,stair,STAIR,netlib
8,1,stair,STAIR,netlib
9,1,stair,STAIR,netlib
10,1,stair,STAIR,netlib
11,1,stair,STAIR,netlib
12,1,stair,STAIR,netlib
13,1,stair,STAIR,netlib
14,1,stair,STAIR,netlib
15,1,stair,STAIR,netlib
16,1,stair,STAIR,netlib
17,1,stair,STAIR,netlib
18,1,stair,STAIR,netlib
19,1,stair,STAIR,netlib
20,1,stair,STAIR,netlib
21,1,stair,STAIR,netlib
22,1,stair,STAIR,netlib
23,1,stair,STAIR,netlib
24,1,stair,STAIR,netlib
