case,title,family,method,K,n_train,sample_k,objective_ratio_mean,objective_ratio_se,seed_count
grow7,GROW7,netlib,CostOnly,20,0,20,0.0,0.0,2
grow7,GROW7,netlib,CostOnly,20,1,20,2.864007431197733e-07,2.658605890800272e-12,2
grow7,GROW7,netlib,CostOnly,20,2,20,2.8716324713202227e-07,3.512478287902897e-10,2
grow7,GROW7,netlib,CostOnly,20,3,20,2.877491096383169e-07,5.309944709466902e-10,2
grow7,GROW7,netlib,CostOnly,20,4,20,2.8829252435887065e-07,1.5837122526400803e-10,2
grow7,GROW7,netlib,CostOnly,20,8,20,2.901448280471707e-07,5.568352689816453e-10,2
grow7,GROW7,netlib,CostOnly,20,12,20,2.90952064445016e-07,4.969419003434328e-10,2
grow7,GROW7,netlib,CostOnly,20,16,20,2.920636282820716e-07,9.900923416505015e-11,2
grow7,GROW7,netlib,CostOnly,20,20,20,2.9227706879309323e-07,1.1518870024133519e-12,2
grow7,GROW7,netlib,OursExact,20,0,20,0.0,0.0,2
grow7,GROW7,netlib,OursExact,20,1,20,0.9999999999999856,2.4369458614985988e-14,2
grow7,GROW7,netlib,OursExact,20,2,20,0.9999999999999856,2.4369458614985988e-14,2
grow7,GROW7,netlib,OursExact,20,3,20,0.9999999999999856,2.4369458614985988e-14,2
grow7,GROW7,netlib,OursExact,20,4,20,0.9999999999999856,2.4369458614985988e-14,2
grow7,GROW7,netlib,OursExact,20,8,20,0.9999999999999856,2.4369458614985988e-14,2
grow7,GROW7,netlib,OursExact,20,12,20,0.9999999999999856,2.4369458614985988e-14,2
grow7,GROW7,netlib,OursExact,20,16,20,0.9999999999999856,2.4369458614985988e-14,2
grow7,GROW7,netlib,OursExact,20,20,20,0.9999999999999856,2.4369458614985988e-14,2
grow7,GROW7,netlib,PCA,20,0,20,0.0,0.0,2
grow7,GROW7,netlib,PCA,20,1,20,0.0,0.0,2
grow7,GROW7,netlib,PCA,20,2,20,0.0,0.0,2
grow7,GROW7,netlib,PCA,20,3,20,0.0,0.0,2
grow7,GROW7,netlib,PCA,20,4,20,0.0,0.0,2
grow7,GROW7,netlib,PCA,20,8,20,0.0,0.0,2
grow7,GROW7,netlib,PCA,20,12,20,0.0,0.0,2
grow7,GROW7,netlib,PCA,20,16,20,0.0,0.0,2
grow7,GROW7,netlib,PCA,20,20,20,0.0,0.0,2
grow7,GROW7,netlib,SGA,20,0,20,0.0,0.0,2
grow7,GROW7,netlib,SGA,20,1,20,0.0441725290939252,0.0007734631259521986,2
grow7,GROW7,netlib,SGA,20,2,20,0.026873616872656648,0.011583774839024149,2
grow7,GROW7,netlib,SGA,20,3,20,0.0271952983328796,0.007840344722124899,2
grow7,GROW7,netlib,SGA,20,4,20,0.0265879496914998,0.0026251101396832007,2
grow7,GROW7,netlib,SGA,20,8,20,0.02909207178558465,0.01319978677256015,2
grow7,GROW7,netlib,SGA,20,12,20,0.03766416847076815,0.00041072582794154927,2
grow7,GROW7,netlib,SGA,20,16,20,0.040402704674947346,0.007606900658033248,2
grow7,GROW7,netlib,SGA,20,20,20,0.04743388917532255,0.004657057816170249,2
maxflow,MaxFlow,maxflow,CostOnly,20,0,20,0.0,0.0,2
maxflow,MaxFlow,maxflow,CostOnly,20,1,20,0.9999650733166214,3.561353618286578e-06,2
maxflow,MaxFlow,maxflow,CostOnly,20,2,20,0.9999650733166214,3.561353618286578e-06,2
maxflow,MaxFlow,maxflow,CostOnly,20,3,20,0.9999650733166214,3.561353618286578e-06,2
maxflow,MaxFlow,maxflow,CostOnly,20,4,20,0.9999650733166214,3.561353618286578e-06,2
maxflow,MaxFlow,maxflow,CostOnly,20,8,20,0.9999650733166214,3.561353618286578e-06,2
maxflow,MaxFlow,maxflow,CostOnly,20,12,20,0.9999650733166214,3.561353618286578e-06,2
maxflow,MaxFlow,maxflow,CostOnly,20,16,20,0.9999650733166214,3.561353618286578e-06,2
maxflow,MaxFlow,maxflow,CostOnly,20,20,20,0.9999650733166214,3.561353618286578e-06,2
maxflow,MaxFlow,maxflow,OursExact,20,0,20,0.0,0.0,2
maxflow,MaxFlow,maxflow,OursExact,20,1,20,0.9999547817143843,9.051891851907799e-06,2
maxflow,MaxFlow,maxflow,OursExact,20,2,20,0.9999547817143843,9.051891851907799e-06,2
maxflow,MaxFlow,maxflow,OursExact,20,3,20,0.9999547817143843,9.051891851907799e-06,2
maxflow,MaxFlow,maxflow,OursExact,20,4,20,0.9999547817143843,9.051891851907799e-06,2
maxflow,MaxFlow,maxflow,OursExact,20,8,20,0.9999569226900948,6.910916141300571e-06,2
