case,title,family,method,K,objective_ratio_mean,objective_ratio_se,seed_count,source_method
grow7,GROW7,netlib,CostOnly,5,2.885049379934995e-07,1.8336315033470524e-10,2,CostOnly
grow7,GROW7,netlib,CostOnly,10,2.892954928839465e-07,2.2562274436400106e-10,2,CostOnly
grow7,GROW7,netlib,CostOnly,20,2.922751560860243e-07,1.852143859591453e-11,2,CostOnly
grow7,GROW7,netlib,CostOnly,30,0.00664150194678,0.0066412096487407,2,CostOnly
grow7,GROW7,netlib,CostOnly,40,0.0102898145153114,0.010275998399657,2,CostOnly
grow7,GROW7,netlib,CostOnly,50,0.3219070677935168,0.2698549450449196,2,CostOnly
grow7,GROW7,netlib,Full,5,1.0,0.0,2,Full
grow7,GROW7,netlib,Full,10,1.0,0.0,2,Full
grow7,GROW7,netlib,Full,20,1.0,0.0,2,Full
grow7,GROW7,netlib,Full,30,1.0,0.0,2,Full
grow7,GROW7,netlib,Full,40,1.0,0.0,2,Full
grow7,GROW7,netlib,Full,50,1.0,0.0,2,Full
grow7,GROW7,netlib,OursExact,5,0.9999999999999848,2.5313084961453566e-14,2,OursExact
grow7,GROW7,netlib,OursExact,10,0.9999999999999848,2.5313084961453566e-14,2,OursExact
grow7,GROW7,netlib,OursExact,20,0.9999999999999848,2.5313084961453566e-14,2,OursExact
grow7,GROW7,netlib,OursExact,30,0.9999999999999848,2.5313084961453566e-14,2,OursExact
grow7,GROW7,netlib,OursExact,40,0.9999999999999848,2.5313084961453566e-14,2,OursExact
grow7,GROW7,netlib,OursExact,50,0.9999999999999848,2.5313084961453566e-14,2,OursExact
grow7,GROW7,netlib,Rand,5,0.0,0.0,2,Rand
grow7,GROW7,netlib,Rand,10,0.0,0.0,2,Rand
grow7,GROW7,netlib,Rand,20,0.0,0.0,2,Rand
grow7,GROW7,netlib,Rand,30,0.0,0.0,2,Rand
grow7,GROW7,netlib,Rand,40,0.0,0.0,2,Rand
grow7,GROW7,netlib,Rand,50,0.0,0.0,2,Rand
grow7,GROW7,netlib,data-driven proj,5,0.0261309581548579,0.0029392043091228,2,SGA
grow7,GROW7,netlib,data-driven proj,10,0.029759602884886,0.0025937768707682,2,SGA
grow7,GROW7,netlib,data-driven proj,20,0.0375662322408919,0.0081473789962939,2,SGA
grow7,GROW7,netlib,data-driven proj,30,0.0457616843021594,0.0037426374439103,2,SGA
grow7,GROW7,netlib,data-driven proj,40,0.0457735007900419,0.0037544539317928,2,SGA
grow7,GROW7,netlib,data-driven proj,50,0.0456641700972921,0.003645123239043,2,SGA
sc205,SC205,netlib,CostOnly,5,1.4350585748464733e-08,1.6004162524554763e-10,2,CostOnly
sc205,SC205,netlib,CostOnly,10,1.5052066505804364e-08,1.6869516359813888e-10,2,CostOnly
sc205,SC205,netlib,CostOnly,20,2.1348683475242423e-08,1.089633781592383e-09,2,CostOnly
sc205,SC205,netlib,CostOnly,30,2.3594158921017053e-08,1.9030889112048203e-11,2,CostOnly
sc205,SC205,netlib,CostOnly,40,0.0243546197201441,0.0243545961069542,2,CostOnly
sc205,SC205,netlib,CostOnly,50,0.7835297959651442,0.0111311387612126,2,CostOnly
sc205,SC205,netlib,Full,5,1.0,0.0,2,Full
sc205,SC205,netlib,Full,10,1.0,0.0,2,Full
sc205,SC205,netlib,Full,20,1.0,0.0,2,Full
sc205,SC205,netlib,Full,30,1.0,0.0,2,Full
sc205,SC205,netlib,Full,40,1.0,0.0,2,Full
sc205,SC205,netlib,Full,50,1.0,0.0,2,Full
sc205,SC205,netlib,OursExact,5,1.0,0.0,2,OursExact
sc205,SC205,netlib,OursExact,10,1.0,0.0,2,OursExact
sc205,SC205,netlib,OursExact,20,1.0,0.0,2,OursExact
sc205,SC205,netlib,OursExact,30,1.0,0.0,2,OursExact
sc205,SC205,netlib,OursExact,40,1.0,0.0,2,OursExact
sc205,SC205,netlib,OursExact,50,1.0,0.0,2,OursExact
sc205,SC205,netlib,data-driven proj,5,0.0,0.0,2,PCA
sc205,SC205,netlib,data-driven proj,10,0.0,0.0,2,PCA
sc205,SC205,netlib,data-driven proj,20,0.0,0.0,2,PCA
sc205,SC205,netlib,data-driven proj,30,0.500000000000039,0.500000000000039,2,PCA
sc205,SC205,netlib,data-driven proj,40,0.500000000000039,0.500000000000039,2,PCA
sc205,SC205,netlib,data-driven proj,50,0.500000000000039,0.500000000000039,2,PCA
sc205,SC205,netlib,Rand,5,0.0,0.0,2,Rand
sc205,SC205,netlib,Rand,10,5.0768706659671385e-08,3.4844299316742085e-08,2,Rand
sc205,SC205,netlib,Rand,20,2.3702212904622146e-07,2.3702212904622146e-07,2,Rand
sc205,SC205,netlib,Rand,30,0.0,0.0,2,Rand
sc205,SC205,netlib,Rand,40,1.8505102546768816e-05,1.4617088484179943e-05,2,Rand
sc205,SC205,netlib,Rand,50,4.6944698690024446e-05,1.182834359343788e-05,2,Rand
scagr25,SCAGR25,netlib,CostOnly,5,0.3879377580138947,1.468752759969938e-07,2,CostOnly
scagr25,SCAGR25,netlib,CostOnly,10,0.3879377649420407,1.538034219983331e-07,2,CostOnly
scagr25,SCAGR25,netlib,CostOnly,20,0.3879377836413437,1.7250272504876205e-07,2,CostOnly
scagr25,SCAGR25,netlib,CostOnly,30,0.3879378004348781,1.8929625941743741e-07,2,CostOnly
scagr25,SCAGR25,netlib,CostOnly,40,0.3879378004348781,1.8929625941743741e-07,2,CostOnly
scagr25,SCAGR25,netlib,CostOnly,50,0.3879378004348781,1.8929625941743741e-07,2,CostOnly
scagr25,SCAGR25,netlib,Full,5,1.0,0.0,2,Full
scagr25,SCAGR25,netlib,Full,10,1.0,0.0,2,Full
scagr25,SCAGR25,netlib,Full,20,1.0,0.0,2,Full
scagr25,SCAGR25,netlib,Full,30,1.0,0.0,2,Full
scagr25,SCAGR25,netlib,Full,40,1.0,0.0,2,Full
scagr25,SCAGR25,netlib,Full,50,1.0,0.0,2,Full
scagr25,SCAGR25,netlib,OursExact,5,1.0,0.0,2,OursExact
scagr25,SCAGR25,netlib,OursExact,10,1.0,0.0,2,OursExact
scagr25,SCAGR25,netlib,OursExact,20,1.0,0.0,2,OursExact
scagr25,SCAGR25,netlib,OursExact,30,1.0,0.0,2,OursExact
scagr25,SCAGR25,netlib,OursExact,40,1.0,0.0,2,OursExact
scagr25,SCAGR25,netlib,OursExact,50,1.0,0.0,2,OursExact
scagr25,SCAGR25,netlib,Rand,5,0.387937773595648,1.0791325402714769e-07,2,Rand
scagr25,SCAGR25,netlib,Rand,10,0.387937773595648,1.0791325402714769e-07,2,Rand
scagr25,SCAGR25,netlib,Rand,20,0.387937773595648,1.0791325402714769e-07,2,Rand
scagr25,SCAGR25,netlib,Rand,30,0.387937773595648,1.0791325402714769e-07,2,Rand
scagr25,SCAGR25,netlib,Rand,40,0.387937773595648,1.0791325402714769e-07,2,Rand
scagr25,SCAGR25,netlib,Rand,50,0.3879377735956481,1.0791325405490326e-07,2,Rand
scagr25,SCAGR25,netlib,data-driven proj,5,0.3918218352658202,0.0027782060522326,2,SGA
scagr25,SCAGR25,netlib,data-driven proj,10,0.3946406642986457,0.0049818482341549,2,SGA
scagr25,SCAGR25,netlib,data-driven proj,20,0.4005608721691216,0.0030632973302706,2,SGA
scagr25,SCAGR25,netlib,data-driven proj,30,0.4341812671701182,0.0135213874307595,2,SGA
scagr25,SCAGR25,netlib,data-driven proj,40,0.4341812671701182,0.0135213874307595,2,SGA
scagr25,SCAGR25,netlib,data-driven proj,50,0.4341812671701182,0.0135213874307595,2,SGA
stair,STAIR,netlib,CostOnly,5,0.95771352295339,1.3136633852939286e-07,2,CostOnly
stair,STAIR,netlib,CostOnly,10,0.95771352295339,1.3136633852939286e-07,2,CostOnly
stair,STAIR,netlib,CostOnly,20,0.95771352295339,1.3136633852939286e-07,2,CostOnly
stair,STAIR,netlib,CostOnly,30,0.95771352295339,1.3136633852939286e-07,2,CostOnly
stair,STAIR,netlib,CostOnly,40,0.95771352295339,1.3136633852939286e-07,2,CostOnly
stair,STAIR,netlib,CostOnly,50,0.95771352295339,1.3136633852939286e-07,2,CostOnly
stair,STAIR,netlib,Full,5,1.0,0.0,2,Full
stair,STAIR,netlib,Full,10,1.0,0.0,2,Full
stair,STAIR,netlib,Full,20,1.0,0.0,2,Full
stair,STAIR,netlib,Full,30,1.0,0.0,2,Full
stair,STAIR,netlib,Full,40,1.0,0.0,2,Full
stair,STAIR,netlib,Full,50,1.0,0.0,2,Full
stair,STAIR,netlib,OursExact,5,1.0000000000000009,0.0,2,OursExact
stair,STAIR,netlib,OursExact,10,1.0000000000000009,0.0,2,OursExact
stair,STAIR,netlib,OursExact,20,1.0000000000000009,0.0,2,OursExact
stair,STAIR,netlib,OursExact,30,1.0000000000000009,0.0,2,OursExact
stair,STAIR,netlib,OursExact,40,1.0000000000000009,0.0,2,OursExact
stair,STAIR,netlib,OursExact,50,1.0000000000000009,0.0,2,OursExact
stair,STAIR,netlib,Rand,5,0.9577133934499245,4.26792490238276e-11,2,Rand
stair,STAIR,netlib,Rand,10,0.9577133934499232,4.26792490238276e-11,2,Rand
stair,STAIR,netlib,Rand,20,0.957713393449926,4.2681747025596906e-11,2,Rand
stair,STAIR,netlib,Rand,30,0.9577133934499238,4.267963760185012e-11,2,Rand
stair,STAIR,netlib,Rand,40,0.9577133934499296,4.268552178388063e-11,2,Rand
stair,STAIR,netlib,Rand,50,0.9577133934499232,4.267930453494273e-11,2,Rand
stair,STAIR,netlib,data-driven proj,5,0.9767794023634376,9.326278638256956e-11,2,SGA
stair,STAIR,netlib,data-driven proj,10,0.9767794023634304,9.323758431991056e-11,2,SGA
stair,STAIR,netlib,data-driven proj,20,0.9767794023634172,9.318140703486451e-11,2,SGA
stair,STAIR,netlib,data-driven proj,30,0.976779402363417,9.318301685823369e-11,2,SGA
stair,STAIR,netlib,data-driven proj,40,0.976779402363417,9.318301685823369e-11,2,SGA
stair,STAIR,netlib,data-driven proj,50,0.976779402363417,9.318301685823369e-11,2,SGA
