case,title,family,method,K,objective_ratio_mean,objective_ratio_se,seed_count,source_method
maxflow,MaxFlow,maxflow,CostOnly,5,0.9999659816735684,7.039629305594097e-06,2,CostOnly
maxflow,MaxFlow,maxflow,CostOnly,10,0.999965904468457,1.9016073403710363e-06,2,CostOnly
maxflow,MaxFlow,maxflow,CostOnly,20,0.9999662310960749,2.9805477612110387e-06,2,CostOnly
maxflow,MaxFlow,maxflow,CostOnly,30,0.9999662310960749,2.9805477612110387e-06,2,CostOnly
maxflow,MaxFlow,maxflow,CostOnly,40,0.9999662310960749,2.9805477612110387e-06,2,CostOnly
maxflow,MaxFlow,maxflow,CostOnly,50,0.9999662310960749,2.9805477612110387e-06,2,CostOnly
maxflow,MaxFlow,maxflow,Full,5,1.0,0.0,2,Full
maxflow,MaxFlow,maxflow,Full,10,1.0,0.0,2,Full
maxflow,MaxFlow,maxflow,Full,20,1.0,0.0,2,Full
maxflow,MaxFlow,maxflow,Full,30,1.0,0.0,2,Full
maxflow,MaxFlow,maxflow,Full,40,1.0,0.0,2,Full
maxflow,MaxFlow,maxflow,Full,50,1.0,0.0,2,Full
maxflow,MaxFlow,maxflow,OursExact,5,0.9999622066742452,8.996150335782714e-07,2,OursExact
maxflow,MaxFlow,maxflow,OursExact,10,0.9999622066742452,8.996150335782714e-07,2,OursExact
maxflow,MaxFlow,maxflow,OursExact,20,0.9999622066742452,8.996150335782714e-07,2,OursExact
maxflow,MaxFlow,maxflow,OursExact,30,0.9999622066742452,8.996150335782714e-07,2,OursExact
maxflow,MaxFlow,maxflow,OursExact,40,0.9999622066742452,8.996150335782714e-07,2,OursExact
maxflow,MaxFlow,maxflow,OursExact,50,0.9999622066742452,8.996150335782714e-07,2,OursExact
maxflow,MaxFlow,maxflow,Rand,5,2.7757620325701532e-09,6.3692692238443386e-12,2,Rand
maxflow,MaxFlow,maxflow,Rand,10,9.767786356592698e-09,9.205550893659092e-12,2,Rand
maxflow,MaxFlow,maxflow,Rand,20,2.1477683798003855e-08,4.867700603840654e-09,2,Rand
maxflow,MaxFlow,maxflow,Rand,30,3.3202060458997236e-08,4.232386995200664e-09,2,Rand
maxflow,MaxFlow,maxflow,Rand,40,3.819113778111464e-08,6.280689636269192e-10,2,Rand
maxflow,MaxFlow,maxflow,Rand,50,3.5500051684533495e-08,2.0192447678108972e-09,2,Rand
maxflow,MaxFlow,maxflow,data-driven proj,5,0.9999536610146492,7.49712094777477e-06,2,SGA
maxflow,MaxFlow,maxflow,data-driven proj,10,0.9999536610146492,7.49712094777477e-06,2,SGA
maxflow,MaxFlow,maxflow,data-driven proj,20,0.9999576160653793,1.1452171677583944e-05,2,SGA
