sample,rank_after_sample,case,title,family
0,0,packing,Packing,packing
1,136,packing,Packing,packing
2,136,packing,Packing,packing
3,136,packing,Packing,packing
4,136,packing,Packing,packing
5,136,packing,Packing,packing
6,136,packing,Packing,packing
7,136,packing,Packing,packing
8,136,packing,Packing,packing
9,136,packing,Packing,packing
10,136,packing,Packing,packing
11,136,packing,Packing,packing
12,136,packing,Packing,packing
13,136,packing,Packing,packing
14,136,packing,Packing,packing
15,136,packing,Packing,packing
16,136,packing,Packing,packing
17,136,packing,Packing,packing
18,136,packing,Packing,packing
19,136,packing,Packing,packing
20,136,packing,Packing,packing
21,136,packing,Packing,packing
22,136,packing,Packing,packing
23,136,packing,Packing,packing
24,136,packing,Packing,packing
0,0,maxflow,MaxFlow,maxflow
1,1,maxflow,MaxFlow,maxflow
2,2,maxflow,MaxFlow,maxflow
3,2,maxflow,MaxFlow,maxflow
4,3,maxflow,MaxFlow,maxflow
5,4,maxflow,MaxFlow,maxflow
6,4,maxflow,MaxFlow,maxflow
7,4,maxflow,MaxFlow,maxflow
8,4,maxflow,MaxFlow,maxflow
9,4,maxflow,MaxFlow,maxflow
10,4,maxflow,MaxFlow,maxflow
11,5,maxflow,MaxFlow,maxflow
12,5,maxflow,MaxFlow,maxflow
13,5,maxflow,MaxFlow,maxflow
14,5,maxflow,MaxFlow,maxflow
15,5,maxflow,MaxFlow,maxflow
16,5,maxflow,MaxFlow,maxflow
17,5,maxflow,MaxFlow,maxflow
18,5,maxflow,MaxFlow,maxflow
19,5,maxflow,MaxFlow,maxflow
20,5,maxflow,MaxFlow,maxflow
21,5,maxflow,MaxFlow,maxflow
22,5,maxflow,MaxFlow,maxflow
23,5,maxflow,MaxFlow,maxflow
24,5,maxflow,MaxFlow,maxflow
0,0,mincostflow,MinCostFlow,mincostflow
1,1,mincostflow,MinCostFlow,mincostflow
2,2,mincostflow,MinCostFlow,mincostflow
3,2,mincostflow,MinCostFlow,mincostflow
4,3,mincostflow,MinCostFlow,mincostflow
5,3,mincostflow,MinCostFlow,mincostflow
6,3,mincostflow,MinCostFlow,mincostflow
7,3,mincostflow,MinCostFlow,mincostflow
8,3,mincostflow,MinCostFlow,mincostflow
9,3,mincostflow,MinCostFlow,mincostflow
10,3,mincostflow,MinCostFlow,mincostflow
11,4,mincostflow,MinCostFlow,mincostflow
12,4,mincostflow,MinCostFlow,mincostflow
13,4,mincostflow,MinCostFlow,mincostflow
14,4,mincostflow,MinCostFlow,mincostflow
15,4,mincostflow,MinCostFlow,mincostflow
16,4,mincostflow,MinCostFlow,mincostflow
17,4,mincostflow,MinCostFlow,mincostflow
18,4,mincostflow,MinCostFlow,mincostflow
19,4,mincostflow,MinCostFlow,mincostflow
20,4,mincostflow,MinCostFlow,mincostflow
21,4,mincostflow,MinCostFlow,mincostflow
22,4,mincostflow,MinCostFlow,mincostflow
23,4,mincostflow,MinCostFlow,mincostflow
24,4,mincostflow,MinCostFlow,mincostflow
0,0,random_lp_A,RandomLP A,random_lp
1,5,random_lp_A,RandomLP A,random_lp
2,5,random_lp_A,RandomLP A,random_lp
3,5,random_lp_A,RandomLP A,random_lp
4,5,random_lp_A,RandomLP A,random_lp
5,5,random_lp_A,RandomLP A,random_lp
6,5,random_lp_A,RandomLP A,random_lp
7,5,random_lp_A,RandomLP A,random_lp
8,5,random_lp_A,RandomLP A,random_lp
9,5,random_lp_A,RandomLP A,random_lp
10,5,random_lp_A,RandomLP A,random_lp
11,5,random_lp_A,RandomLP A,random_lp
12,5,random_lp_A,RandomLP A,random_lp
13,5,random_lp_A,RandomLP A,random_lp
14,5,random_lp_A,RandomLP A,random_lp
15,5,random_lp_A,RandomLP A,random_lp
16,5,random_lp_A,RandomLP A,random_lp
17,5,random_lp_A,RandomLP A,random_lp
18,5,random_lp_A,RandomLP A,random_lp
19,5,random_lp_A,RandomLP A,random_lp
20,5,random_lp_A,RandomLP A,random_lp
21,5,random_lp_A,RandomLP A,random_lp
22,5,random_lp_A,RandomLP A,random_lp
23,5,random_lp_A,RandomLP A,random_lp
24,5,random_lp_A,RandomLP A,random_lp
0,0,random_lp_B,RandomLP B,random_lp
1,11,random_lp_B,RandomLP B,random_lp
2,11,random_lp_B,RandomLP B,random_lp
3,11,random_lp_B,RandomLP B,random_lp
4,11,random_lp_B,RandomLP B,random_lp
5,11,random_lp_B,RandomLP B,random_lp
6,11,random_lp_B,RandomLP B,random_lp
7,11,random_lp_B,RandomLP B,random_lp
8,11,random_lp_B,RandomLP B,random_lp
9,11,random_lp_B,RandomLP B,random_lp
10,11,random_lp_B,RandomLP B,random_lp
11,11,random_lp_B,RandomLP B,random_lp
12,11,random_lp_B,RandomLP B,random_lp
13,11,random_lp_B,RandomLP B,random_lp
14,11,random_lp_B,RandomLP B,random_lp
15,11,random_lp_B,RandomLP B,random_lp
16,11,random_lp_B,RandomLP B,random_lp
17,11,random_lp_B,RandomLP B,random_lp
18,11,random_lp_B,RandomLP B,random_lp
19,11,random_lp_B,RandomLP B,random_lp
20,11,random_lp_B,RandomLP B,random_lp
21,11,random_lp_B,RandomLP B,random_lp
22,11,random_lp_B,RandomLP B,random_lp
23,11,random_lp_B,RandomLP B,random_lp
24,11,random_lp_B,RandomLP B,random_lp
0,0,random_lp_C,RandomLP C,random_lp
1,6,random_lp_C,RandomLP C,random_lp
2,6,random_lp_C,RandomLP C,random_lp
3,6,random_lp_C,RandomLP C,random_lp
4,6,random_lp_C,RandomLP C,random_lp
5,7,random_lp_C,RandomLP C,random_lp
6,7,random_lp_C,RandomLP C,random_lp
7,7,random_lp_C,RandomLP C,random_lp
8,7,random_lp_C,RandomLP C,random_lp
9,7,random_lp_C,RandomLP C,random_lp
10,7,random_lp_C,RandomLP C,random_lp
11,7,random_lp_C,RandomLP C,random_lp
12,7,random_lp_C,RandomLP C,random_lp
13,7,random_lp_C,RandomLP C,random_lp
14,7,random_lp_C,RandomLP C,random_lp
15,7,random_lp_C,RandomLP C,random_lp
16,8,random_lp_C,RandomLP C,random_lp
17,8,random_lp_C,RandomLP C,random_lp
18,8,random_lp_C,RandomLP C,random_lp
19,8,random_lp_C,RandomLP C,random_lp
20,8,random_lp_C,RandomLP C,random_lp
21,8,random_lp_C,RandomLP C,random_lp
22,8,random_lp_C,RandomLP C,random_lp
23,8,random_lp_C,RandomLP C,random_lp
24,8,random_lp_C,RandomLP C,random_lp
0,0,random_lp_D,RandomLP D,random_lp
1,11,random_lp_D,RandomLP D,random_lp
2,12,random_lp_D,RandomLP D,random_lp
3,12,random_lp_D,RandomLP D,random_lp
4,12,random_lp_D,RandomLP D,random_lp
5,12,random_lp_D,RandomLP D,random_lp
6,12,random_lp_D,RandomLP D,random_lp
7,12,random_lp_D,RandomLP D,random_lp
8,12,random_lp_D,RandomLP D,random_lp
9,12,random_lp_D,RandomLP D,random_lp
10,12,random_lp_D,RandomLP D,random_lp
11,12,random_lp_D,RandomLP D,random_lp
12,12,random_lp_D,RandomLP D,random_lp
13,12,random_lp_D,RandomLP D,random_lp
14,12,random_lp_D,RandomLP D,random_lp
15,12,random_lp_D,RandomLP D,random_lp
16,12,random_lp_D,RandomLP D,random_lp
17,12,random_lp_D,RandomLP D,random_lp
18,12,random_lp_D,RandomLP D,random_lp
19,12,random_lp_D,RandomLP D,random_lp
20,12,random_lp_D,RandomLP D,random_lp
21,12,random_lp_D,RandomLP D,random_lp
22,12,random_lp_D,RandomLP D,random_lp
23,12,random_lp_D,RandomLP D,random_lp
24,12,random_lp_D,RandomLP D,random_lp
0,0,shortest_path,ShortestPath,shortest_path
1,2,shortest_path,ShortestPath,shortest_path
2,2,shortest_path,ShortestPath,shortest_path
3,3,shortest_path,ShortestPath,shortest_path
4,3,shortest_path,ShortestPath,shortest_path
5,3,shortest_path,ShortestPath,shortest_path
6,5,shortest_path,ShortestPath,shortest_path
7,5,shortest_path,ShortestPath,shortest_path
8,7,shortest_path,ShortestPath,shortest_path
9,7,shortest_path,ShortestPath,shortest_path
10,8,shortest_path,ShortestPath,shortest_path
11,8,shortest_path,ShortestPath,shortest_path
12,8,shortest_path,ShortestPath,shortest_path
13,8,shortest_path,ShortestPath,shortest_path
14,8,shortest_path,ShortestPath,shortest_path
15,8,shortest_path,ShortestPath,shortest_path
16,8,shortest_path,ShortestPath,shortest_path
17,8,shortest_path,ShortestPath,shortest_path
18,8,shortest_path,ShortestPath,shortest_path
19,8,shortest_path,ShortestPath,shortest_path
20,8,shortest_path,ShortestPath,shortest_path
21,8,shortest_path,ShortestPath,shortest_path
22,8,shortest_path,ShortestPath,shortest_path
23,8,shortest_path,ShortestPath,shortest_path
24,8,shortest_path,ShortestPath,shortest_path
