case,title,family,method,K,n_train,sample_k,objective_ratio_mean,objective_ratio_se,seed_count,source_method
grow7,GROW7,netlib,CostOnly,20,0,20,0.0,0.0,2,CostOnly
grow7,GROW7,netlib,CostOnly,20,1,20,2.864007431197733e-07,2.658605890800272e-12,2,CostOnly
grow7,GROW7,netlib,CostOnly,20,2,20,2.871632471320223e-07,3.5124782879028966e-10,2,CostOnly
grow7,GROW7,netlib,CostOnly,20,3,20,2.877491096383169e-07,5.309944709466901e-10,2,CostOnly
grow7,GROW7,netlib,CostOnly,20,4,20,2.8829252435887065e-07,1.5837122526400803e-10,2,CostOnly
grow7,GROW7,netlib,CostOnly,20,8,20,2.901448280471707e-07,5.568352689816453e-10,2,CostOnly
grow7,GROW7,netlib,CostOnly,20,12,20,2.90952064445016e-07,4.969419003434328e-10,2,CostOnly
grow7,GROW7,netlib,CostOnly,20,16,20,2.920636282820716e-07,9.900923416505015e-11,2,CostOnly
grow7,GROW7,netlib,CostOnly,20,20,20,2.922770687930933e-07,1.151887002413352e-12,2,CostOnly
grow7,GROW7,netlib,OursExact,20,0,20,0.0,0.0,2,OursExact
grow7,GROW7,netlib,OursExact,20,1,20,0.9999999999999856,2.4369458614985988e-14,2,OursExact
grow7,GROW7,netlib,OursExact,20,2,20,0.9999999999999856,2.4369458614985988e-14,2,OursExact
grow7,GROW7,netlib,OursExact,20,3,20,0.9999999999999856,2.4369458614985988e-14,2,OursExact
grow7,GROW7,netlib,OursExact,20,4,20,0.9999999999999856,2.4369458614985988e-14,2,OursExact
grow7,GROW7,netlib,OursExact,20,8,20,0.9999999999999856,2.4369458614985988e-14,2,OursExact
grow7,GROW7,netlib,OursExact,20,12,20,0.9999999999999856,2.4369458614985988e-14,2,OursExact
grow7,GROW7,netlib,OursExact,20,16,20,0.9999999999999856,2.4369458614985988e-14,2,OursExact
grow7,GROW7,netlib,OursExact,20,20,20,0.9999999999999856,2.4369458614985988e-14,2,OursExact
grow7,GROW7,netlib,data-driven proj,20,0,20,0.0,0.0,2,SGA
grow7,GROW7,netlib,data-driven proj,20,1,20,0.0441725290939252,0.0007734631259521,2,SGA
grow7,GROW7,netlib,data-driven proj,20,2,20,0.0268736168726566,0.0115837748390241,2,SGA
grow7,GROW7,netlib,data-driven proj,20,3,20,0.0271952983328796,0.0078403447221248,2,SGA
grow7,GROW7,netlib,data-driven proj,20,4,20,0.0265879496914998,0.0026251101396832,2,SGA
grow7,GROW7,netlib,data-driven proj,20,8,20,0.0290920717855846,0.0131997867725601,2,SGA
grow7,GROW7,netlib,data-driven proj,20,12,20,0.0376641684707681,0.0004107258279415,2,SGA
grow7,GROW7,netlib,data-driven proj,20,16,20,0.0404027046749473,0.0076069006580332,2,SGA
grow7,GROW7,netlib,data-driven proj,20,20,20,0.0474338891753225,0.0046570578161702,2,SGA
maxflow,MaxFlow,maxflow,CostOnly,20,0,20,0.0,0.0,2,CostOnly
maxflow,MaxFlow,maxflow,CostOnly,20,1,20,0.9999650733166214,3.561353618286578e-06,2,CostOnly
maxflow,MaxFlow,maxflow,CostOnly,20,2,20,0.9999650733166214,3.561353618286578e-06,2,CostOnly
maxflow,MaxFlow,maxflow,CostOnly,20,3,20,0.9999650733166214,3.561353618286578e-06,2,CostOnly
maxflow,MaxFlow,maxflow,CostOnly,20,4,20,0.9999650733166214,3.561353618286578e-06,2,CostOnly
maxflow,MaxFlow,maxflow,CostOnly,20,8,20,0.9999650733166214,3.561353618286578e-06,2,CostOnly
maxflow,MaxFlow,maxflow,CostOnly,20,12,20,0.9999650733166214,3.561353618286578e-06,2,CostOnly
maxflow,MaxFlow,maxflow,CostOnly,20,16,20,0.9999650733166214,3.561353618286578e-06,2,CostOnly
maxflow,MaxFlow,maxflow,CostOnly,20,20,20,0.9999650733166214,3.561353618286578e-06,2,CostOnly
maxflow,MaxFlow,maxflow,OursExact,20,0,20,0.0,0.0,2,OursExact
maxflow,MaxFlow,maxflow,OursExact,20,1,20,0.9999547817143845,9.0518918519078e-06,2,OursExact
maxflow,MaxFlow,maxflow,OursExact,20,2,20,0.9999547817143845,9.0518918519078e-06,2,OursExact
maxflow,MaxFlow,maxflow,OursExact,20,3,20,0.9999547817143845,9.0518918519078e-06,2,OursExact
maxflow,MaxFlow,maxflow,OursExact,20,4,20,0.9999547817143845,9.0518918519078e-06,2,OursExact
maxflow,MaxFlow,maxflow,OursExact,20,8,20,0.9999569226900948,6.910916141300571e-06,2,OursExact
maxflow,MaxFlow,maxflow,OursExact,20,12,20,0.9999569226900948,6.910916141300571e-06,2,OursExact
maxflow,MaxFlow,maxflow,OursExact,20,16,20,0.9999585563498918,5.27725634430487e-06,2,OursExact
maxflow,MaxFlow,maxflow,OursExact,20,20,20,0.9999585563498918,5.27725634430487e-06,2,OursExact
maxflow,MaxFlow,maxflow,data-driven proj,20,0,20,0.0,0.0,2,SGA
maxflow,MaxFlow,maxflow,data-driven proj,20,1,20,0.9999547817143845,9.0518918519078e-06,2,SGA
maxflow,MaxFlow,maxflow,data-driven proj,20,2,20,0.99995494431148,7.673704282395999e-06,2,SGA
maxflow,MaxFlow,maxflow,data-driven proj,20,3,20,0.9999537305872372,8.723865512039186e-06,2,SGA
maxflow,MaxFlow,maxflow,data-driven proj,20,4,20,0.9999551735565796,7.666586176013901e-06,2,SGA
maxflow,MaxFlow,maxflow,data-driven proj,20,8,20,0.9999550537357588,7.012584932020171e-06,2,SGA
maxflow,MaxFlow,maxflow,data-driven proj,20,12,20,0.9999609013026062,1.9135399910164e-06,2,SGA
maxflow,MaxFlow,maxflow,data-driven proj,20,16,20,0.9999540216290372,8.385151391621104e-06,2,SGA
maxflow,MaxFlow,maxflow,data-driven proj,20,20,20,0.99995476515708,7.886354357167223e-06,2,SGA
mincostflow,MinCostFlow,mincostflow,CostOnly,20,0,20,0.6544037749639116,0.0005397586935126,2,CostOnly
mincostflow,MinCostFlow,mincostflow,CostOnly,20,1,20,0.6544047310864515,0.0005395820196061,2,CostOnly
mincostflow,MinCostFlow,mincostflow,CostOnly,20,2,20,0.654404545230374,0.0005397682189394,2,CostOnly
mincostflow,MinCostFlow,mincostflow,CostOnly,20,3,20,0.6544044861273464,0.000539708984394,2,CostOnly
mincostflow,MinCostFlow,mincostflow,CostOnly,20,4,20,0.6544044864409511,0.0005397092229592,2,CostOnly
mincostflow,MinCostFlow,mincostflow,CostOnly,20,8,20,0.6544044873554073,0.0005397094261942,2,CostOnly
mincostflow,MinCostFlow,mincostflow,CostOnly,20,12,20,0.6544044879069444,0.0005397095056955,2,CostOnly
mincostflow,MinCostFlow,mincostflow,CostOnly,20,16,20,0.6544044882697029,0.000539709622541,2,CostOnly
mincostflow,MinCostFlow,mincostflow,CostOnly,20,20,20,0.6544044888498864,0.0005397098614376,2,CostOnly
mincostflow,MinCostFlow,mincostflow,OursExact,20,0,20,0.6544037749639116,0.0005397586935126,2,OursExact
mincostflow,MinCostFlow,mincostflow,OursExact,20,1,20,0.9995100525569648,0.0004899474430352,2,OursExact
mincostflow,MinCostFlow,mincostflow,OursExact,20,2,20,0.9995100525569648,0.0004899474430352,2,OursExact
mincostflow,MinCostFlow,mincostflow,OursExact,20,3,20,0.9995100525569648,0.0004899474430352,2,OursExact
mincostflow,MinCostFlow,mincostflow,OursExact,20,4,20,0.9995100525569648,0.0004899474430352,2,OursExact
mincostflow,MinCostFlow,mincostflow,OursExact,20,8,20,0.9995100525569648,0.0004899474430352,2,OursExact
